Date	Team	Opponent	Game	Result	Score	ATS	Spread	OU	Total	
23-Sep-23	Florida	vs Charlotte	REG	W	22-7	L	-28	U	48.5	
30-Sep-23	Florida	@ Kentucky	REG	L	33-14	L	1	O	44	
7-Oct-23	Florida	vs Vanderbilt	REG	W	38-14	W	-18	O	51	
14-Oct-23	Florida	@ South Carolina	REG	W	41-39	W	1	O	50	
28-Oct-23	Florida	vs Georgia	REG	L	43-20	L	14	O	50	
4-Nov-23	Florida	vs Arkansas	REG	L	39-36	L	-3	O	49	
11-Nov-23	Florida	@ Louisiana State	REG	L	52-35	L	16.5	O	68	
18-Nov-23	Florida	@ Missouri	REG	L	33-31	W	12.5	O	56	
25-Nov-23	Florida	vs Florida State	REG	L	24-15	L	6.5	U	49	
24-Aug-24	Florida State	@ Georgia Tech	REG	L	24-21	L	-10.5	U	54.5	
2-Sep-24	Florida State	vs Boston College	REG	L	28-13	L	-16.5	U	51.5	
14-Sep-24	Florida State	vs Memphis	REG	L	20-12	L	-6.5	U	54.5	
21-Sep-24	Florida State	vs California	REG	W	14-9	W	-2.5	U	44.5	
28-Sep-24	Florida State	@ Southern Methodist	REG	L	42-16	L	6	O	46.5	
5-Oct-24	Florida State	vs Clemson	REG	L	29-13	W	16.5	U	47.5	
18-Oct-24	Florida State	@ Duke	REG	L	23-16	L	2.5	U	43	
26-Oct-24	Florida State	@ Miami-FL	REG	L	36-14	W	22.5	U	54.5	
2-Nov-24	Florida State	vs North Carolina	REG	L	35-11	L	2.5	U	50.5	
9-Nov-24	Florida State	@ Notre Dame	REG	L	52-3	L	25.5	O	43.5	
23-Nov-24	Florida State	vs Charleston Southern	REG	W	41-7	P	-34	O	44.5	
30-Nov-24	Florida State	vs Florida	REG	L	31-11	L	17	U	45.5	
3-Sep-23	Florida State	vs Louisiana State	REG	W	45-24	W	2	O	56.5	
9-Sep-23	Florida State	vs Southern Miss	REG	W	66-13	W	-31	O	54	
16-Sep-23	Florida State	@ Boston College	REG	W	31-29	L	-25.5	O	48	
23-Sep-23	Florida State	@ Clemson	REG	W	31-24	W	-1.5	U	56	
7-Oct-23	Florida State	vs Virginia Tech	REG	W	39-17	L	-24	O	52.5	
14-Oct-23	Florida State	vs Syracuse	REG	W	41-3	W	-19	U	53	
21-Oct-23	Florida State	vs Duke	REG	W	38-20	W	-13.5	O	49	
28-Oct-23	Florida State	@ Wake Forest	REG	W	41-16	W	-21	O	53	
4-Nov-23	Florida State	@ Pittsburgh	REG	W	24-7	L	-20.5	U	49.5	
11-Nov-23	Florida State	vs Miami-FL	REG	W	27-20	L	-14.5	U	50	
18-Nov-23	Florida State	vs North Alabama	REG	W	58-13	L	-47.5	O	61.5	
25-Nov-23	Florida State	@ Florida	REG	W	24-15	W	-6.5	U	49	
2-Dec-23	Florida State	vs Louisville	REG	W	16-6	W	1	U	46	
30-Dec-23	Florida State	vs Georgia	PST	L	63-3	L	23.5	O	47	
31-Aug-24	Fresno State	@ Michigan	REG	L	30-10	W	21	U	44.5	
7-Sep-24	Fresno State	vs Sacramento State	REG	W	46-30	L	-19.5	O	57.5	
14-Sep-24	Fresno State	vs New Mexico State	REG	W	48-0	W	-20	O	47.5	
21-Sep-24	Fresno State	@ New Mexico	REG	W	38-21	W	-12	U	61	
28-Sep-24	Fresno State	@ Nevada-Las Vegas	REG	L	59-14	L	2.5	O	50.5	
12-Oct-24	Fresno State	vs Washington State	REG	L	25-17	L	3.5	U	60.5	
18-Oct-24	Fresno State	@ Nevada	REG	W	24-21	P	-3	U	50	
26-Oct-24	Fresno State	vs San Jose State	REG	W	33-10	W	-6.5	U	55	
2-Nov-24	Fresno State	vs Hawaii	REG	L	21-20	L	-11.5	U	45.5	
9-Nov-24	Fresno State	@ Air Force	REG	L	36-28	L	-9.5	O	40.5	
23-Nov-24	Fresno State	vs Colorado State	REG	W	28-22	W	-3.5	O	43.5	
30-Nov-24	Fresno State	@ California-Los Angeles	REG	L	20-13	W	7.5	U	46.5	
23-Dec-24	Fresno State	vs Northern Illinois	PST	L	28-20	L	2.5	O	41	
2-Sep-23	Fresno State	@ Purdue	REG	W	39-35	W	4	O	47	
9-Sep-23	Fresno State	vs Eastern Washington	REG	W	34-31	L	-30	O	64	
16-Sep-23	Fresno State	@ Arizona State	REG	W	29-0	W	-3.5	U	48	
23-Sep-23	Fresno State	vs Kent State	REG	W	53-10	W	-27.5	O	47.5	
30-Sep-23	Fresno State	vs Nevada	REG	W	27-9	L	-25.5	U	50.5	
7-Oct-23	Fresno State	@ Wyoming	REG	L	24-19	L	-5.5	P	43	
13-Oct-23	Fresno State	@ Utah State	REG	W	37-32	L	-5.5	O	56	
28-Oct-23	Fresno State	vs Nevada-Las Vegas	REG	W	31-24	L	-10.5	U	56	
4-Nov-23	Fresno State	vs Boise State	REG	W	37-30	W	-2.5	O	54	
11-Nov-23	Fresno State	@ San Jose State	REG	L	42-18	L	2	O	52	
18-Nov-23	Fresno State	vs New Mexico	REG	L	25-17	L	-22	U	58	
25-Nov-23	Fresno State	@ San Diego State	REG	L	33-18	L	-4.5	O	47	
16-Dec-23	Fresno State	vs New Mexico State	PST	W	37-10	W	3	U	52	
31-Aug-24	Georgia	vs Clemson	REG	W	34-3	W	-10.5	U	49	
7-Sep-24	Georgia	vs Tennessee Tech	REG	W	48-3	L	-54.5	U	67.5	
14-Sep-24	Georgia	@ Kentucky	REG	W	13-12	L	-21.5	U	45.5	
28-Sep-24	Georgia	@ Alabama	REG	L	41-34	L	-1.5	O	49.5	
5-Oct-24	Georgia	vs Auburn	REG	W	31-13	L	-21.5	U	50.5	
12-Oct-24	Georgia	vs Mississippi State	REG	W	41-31	L	-33.5	O	54.5	
19-Oct-24	Georgia	@ Texas	REG	W	30-15	W	4	U	57	
2-Nov-24	Georgia	vs Florida	REG	W	34-20	L	-14.5	O	52.5	
9-Nov-24	Georgia	@ Mississippi	REG	L	28-10	L	-2	U	55.5	
16-Nov-24	Georgia	vs Tennessee	REG	W	31-17	W	-8.5	O	46.5	
23-Nov-24	Georgia	vs Massachusetts	REG	W	59-21	L	-42.5	O	55.5	
29-Nov-24	Georgia	vs Georgia Tech	REG	W	44-42	L	-17	O	49	
7-Dec-24	Georgia	@ Texas	REG	W	22-19	W	3	U	51	
2-Jan-25	Georgia	vs Notre Dame	PST	L	23-10	L	1	U	45.5	
2-Sep-23	Georgia	vs Tennessee-Martin	REG	W	48-7	L	-50.5	U	56.5	
9-Sep-23	Georgia	vs Ball State	REG	W	45-3	P	-42	U	53	
16-Sep-23	Georgia	vs South Carolina	REG	W	24-14	L	-26.5	U	54	
23-Sep-23	Georgia	vs Alabama-Birmingham	REG	W	49-21	L	-40	O	56.5	
30-Sep-23	Georgia	@ Auburn	REG	W	27-20	L	-14	O	44.5	
7-Oct-23	Georgia	vs Kentucky	REG	W	51-13	W	-14.5	O	47	
14-Oct-23	Georgia	@ Vanderbilt	REG	W	37-20	L	-32.5	O	55	
28-Oct-23	Georgia	@ Florida	REG	W	43-20	W	-14	O	50	
4-Nov-23	Georgia	vs Missouri	REG	W	30-21	L	-14	U	55	
11-Nov-23	Georgia	vs Mississippi	REG	W	52-17	W	-11.5	O	58.5	
18-Nov-23	Georgia	@ Tennessee	REG	W	38-10	W	-9	U	59	
25-Nov-23	Georgia	@ Georgia Tech	REG	W	31-23	L	-24.5	U	59.5	
2-Dec-23	Georgia	@ Alabama	REG	L	27-24	L	-5.5	U	53.5	
30-Dec-23	Georgia	@ Florida State	PST	W	63-3	W	-23.5	O	47	
31-Aug-24	Georgia Southern	vs Boise State	REG	L	56-45	W	13	O	57.5	
7-Sep-24	Georgia Southern	@ Nevada	REG	W	20-17	W	1	U	56.5	
14-Sep-24	Georgia Southern	vs South Carolina State	REG	W	42-14	W	-27.5	O	54.5	
21-Sep-24	Georgia Southern	@ Mississippi	REG	L	52-13	L	35.5	U	68.5	
28-Sep-24	Georgia Southern	@ Georgia State	REG	W	38-21	W	3.5	O	57.5	
12-Oct-24	Georgia Southern	vs Marshall	REG	W	24-23	P	-1	U	58.5	
19-Oct-24	Georgia Southern	vs James Madison	REG	W	28-14	W	10	U	58.5	
24-Oct-24	Georgia Southern	@ Old Dominion	REG	L	47-19	L	-1	O	52	
2-Nov-24	Georgia Southern	@ South Alabama	REG	W	34-30	W	5.5	O	60	
16-Nov-24	Georgia Southern	vs Troy	REG	L	28-20	L	-7	U	54	
23-Nov-24	Georgia Southern	@ Coastal Carolina	REG	W	26-6	W	2.5	U	59.5	
30-Nov-24	Georgia Southern	vs Appalachian State	REG	W	29-20	W	-2.5	U	60.5	
19-Dec-24	Georgia Southern	@ Sam Houston State	PST	L	31-26	L	-3.5	O	48.5	
2-Sep-23	Georgia Southern	vs The Citadel	REG	W	34-0	L	-34.5	U	53.5	
9-Sep-23	Georgia Southern	vs Alabama-Birmingham	REG	W	49-35	W	-7	O	63	
16-Sep-23	Georgia Southern	@ Wisconsin	REG	L	35-14	L	20.5	U	65.5	
23-Sep-23	Georgia Southern	@ Ball State	REG	W	40-3	W	-5.5	U	60	
30-Sep-23	Georgia Southern	vs Coastal Carolina	REG	W	38-28	W	-6	U	67.5	
14-Oct-23	Georgia Southern	@ James Madison	REG	L	41-13	L	5.5	U	60	
21-Oct-23	Georgia Southern	vs Louisiana-Monroe	REG	W	38-28	L	-16.5	O	60	
26-Oct-23	Georgia Southern	vs Georgia State	REG	W	44-27	W	-1	O	63.5	
4-Nov-23	Georgia Southern	@ Texas State	REG	L	45-24	L	2.5	P	69	
11-Nov-23	Georgia Southern	@ Marshall	REG	L	38-33	L	-1.5	O	56.5	
18-Nov-23	Georgia Southern	vs Old Dominion	REG	L	20-17	L	-5.5	U	62.5	
25-Nov-23	Georgia Southern	@ Appalachian State	REG	L	55-27	L	10	O	63	
16-Dec-23	Georgia Southern	@ Ohio	PST	L	41-21	L	-1.5	O	48	
31-Aug-24	Georgia State	@ Georgia Tech	REG	L	35-12	L	20.5	U	55.5	
7-Sep-24	Georgia State	vs Chattanooga	REG	W	24-21	L	-10	U	52.5	
14-Sep-24	Georgia State	vs Vanderbilt	REG	W	36-32	W	8.5	O	44.5	
28-Sep-24	Georgia State	vs Georgia Southern	REG	L	38-21	L	-3.5	O	57.5	
12-Oct-24	Georgia State	vs Old Dominion	REG	L	21-14	L	-3	U	53.5	
17-Oct-24	Georgia State	@ Marshall	REG	L	35-20	L	9	O	51.5	
26-Oct-24	Georgia State	@ Appalachian State	REG	L	33-26	P	7	P	59	
1-Nov-24	Georgia State	@ Connecticut	REG	L	34-27	P	7	O	48	
9-Nov-24	Georgia State	@ James Madison	REG	L	38-7	L	14.5	U	53.5	
16-Nov-24	Georgia State	vs Arkansas State	REG	L	27-20	L	-2.5	U	59.5	
23-Nov-24	Georgia State	@ Texas State	REG	W	52-44	W	22.5	O	59.5	
30-Nov-24	Georgia State	vs Coastal Carolina	REG	L	48-27	L	-1	O	53.5	
31-Aug-23	Georgia State	vs Rhode Island	REG	W	42-35	L	-18	O	62	
9-Sep-23	Georgia State	vs Connecticut	REG	W	35-14	W	-3	U	54.5	
16-Sep-23	Georgia State	@ Charlotte	REG	W	41-25	W	-4.5	O	52	
21-Sep-23	Georgia State	@ Coastal Carolina	REG	W	30-17	W	4.5	U	62.5	
30-Sep-23	Georgia State	vs Troy	REG	L	28-7	L	-1	U	50.5	
14-Oct-23	Georgia State	vs Marshall	REG	W	41-24	W	-2	O	53.5	
21-Oct-23	Georgia State	@ Louisiana-Lafayette	REG	W	20-17	W	3	U	62	
26-Oct-23	Georgia State	@ Georgia Southern	REG	L	44-27	L	1	O	63.5	
4-Nov-23	Georgia State	vs James Madison	REG	L	42-14	L	6	O	52	
11-Nov-23	Georgia State	vs Appalachian State	REG	L	42-14	L	-3	U	62.5	
18-Nov-23	Georgia State	@ Louisiana State	REG	L	56-14	L	32	U	74	
25-Nov-23	Georgia State	@ Old Dominion	REG	L	25-24	W	1.5	U	50.5	
23-Dec-23	Georgia State	@ Utah State	PST	W	45-22	W	2	O	58.5	
24-Aug-24	Georgia Tech	vs Florida State	REG	W	24-21	W	10.5	U	54.5	
31-Aug-24	Georgia Tech	vs Georgia State	REG	W	35-12	W	-20.5	U	55.5	
7-Sep-24	Georgia Tech	@ Syracuse	REG	L	31-28	L	-3	U	60.5	
14-Sep-24	Georgia Tech	vs VMI	REG	W	59-7	W	-44.5	O	53.5	
21-Sep-24	Georgia Tech	@ Louisville	REG	L	31-19	L	8.5	U	56.5	
5-Oct-24	Georgia Tech	vs Duke	REG	W	24-14	P	-10	U	53	
12-Oct-24	Georgia Tech	@ North Carolina	REG	W	41-34	W	-3.5	O	61	
19-Oct-24	Georgia Tech	vs Notre Dame	REG	L	31-13	L	14	U	50	
26-Oct-24	Georgia Tech	@ Virginia Tech	REG	L	21-6	L	11	U	52.5	
9-Nov-24	Georgia Tech	vs Miami-FL	REG	W	28-23	W	8.5	U	65	
21-Nov-24	Georgia Tech	vs North Carolina State	REG	W	30-29	L	-7.5	O	51.5	
29-Nov-24	Georgia Tech	@ Georgia	REG	L	44-42	W	17	O	49	
27-Dec-24	Georgia Tech	@ Vanderbilt	PST	L	35-27	L	-3	O	49	
1-Sep-23	Georgia Tech	vs Louisville	REG	L	39-34	W	7.5	O	49.5	
9-Sep-23	Georgia Tech	vs South Carolina State	REG	W	48-13	L	-44	O	53.5	
16-Sep-23	Georgia Tech	@ Mississippi	REG	L	48-23	L	17	O	61.5	
23-Sep-23	Georgia Tech	@ Wake Forest	REG	W	30-16	W	3.5	U	59.5	
30-Sep-23	Georgia Tech	vs Bowling Green	REG	L	38-27	L	-21	O	49	
7-Oct-23	Georgia Tech	@ Miami-FL	REG	W	23-20	W	19	U	57	
21-Oct-23	Georgia Tech	vs Boston College	REG	L	38-23	L	-6	O	57	
28-Oct-23	Georgia Tech	vs North Carolina	REG	W	46-42	W	12	O	65.5	
4-Nov-23	Georgia Tech	@ Virginia	REG	W	45-17	W	1	O	56.5	
11-Nov-23	Georgia Tech	@ Clemson	REG	L	42-21	L	14.5	O	54.5	
18-Nov-23	Georgia Tech	vs Syracuse	REG	W	31-22	W	-6	O	51.5	
25-Nov-23	Georgia Tech	vs Georgia	REG	L	31-23	W	24.5	U	59.5	
22-Dec-23	Georgia Tech	@ Central Florida	PST	W	30-17	W	6	U	66.5	
25-Aug-24	Hawaii	vs Delaware State	REG	W	35-14	L	-40	U	54.5	
31-Aug-24	Hawaii	vs California-Los Angeles	REG	L	16-13	W	13.5	U	52.5	
14-Sep-24	Hawaii	@ Sam Houston State	REG	L	31-13	L	3.5	U	48.5	
22-Sep-24	Hawaii	vs Northern Iowa	REG	W	36-7	W	-10	U	46.5	
5-Oct-24	Hawaii	@ San Diego State	REG	L	27-24	L	1.5	O	47.5	
12-Oct-24	Hawaii	vs Boise State	REG	L	28-7	P	21	U	60	
19-Oct-24	Hawaii	@ Washington State	REG	L	42-10	L	18.5	U	55.5	
27-Oct-24	Hawaii	vs Nevada	REG	W	34-13	W	-2.5	O	41.5	
2-Nov-24	Hawaii	@ Fresno State	REG	W	21-20	W	11.5	U	45.5	
9-Nov-24	Hawaii	vs Nevada-Las Vegas	REG	L	29-27	W	12.5	O	51.5	
16-Nov-24	Hawaii	@ Utah State	REG	L	55-10	L	-2.5	O	62	
30-Nov-24	Hawaii	vs New Mexico	REG	W	38-30	W	6.5	O	59.5	
26-Aug-23	Hawaii	@ Vanderbilt	REG	L	35-28	W	17	O	54.5	
1-Sep-23	Hawaii	vs Stanford	REG	L	37-24	L	2.5	O	54.5	
10-Sep-23	Hawaii	vs Albany-NY	REG	W	31-20	P	-11	U	58.5	
16-Sep-23	Hawaii	@ Oregon	REG	L	55-10	L	38	U	68.5	
24-Sep-23	Hawaii	vs New Mexico State	REG	W	20-17	L	-3.5	U	55	
30-Sep-23	Hawaii	@ Nevada-Las Vegas	REG	L	44-20	L	10.5	O	58.5	
14-Oct-23	Hawaii	vs San Diego State	REG	L	41-34	L	6	O	51.5	
21-Oct-23	Hawaii	@ New Mexico	REG	L	42-21	L	-1.5	O	60	
29-Oct-23	Hawaii	vs San Jose State	REG	L	35-0	L	10.5	U	57.5	
4-Nov-23	Hawaii	@ Nevada	REG	W	27-14	W	3.5	U	50	
11-Nov-23	Hawaii	vs Air Force	REG	W	27-13	W	20	U	46.5	
18-Nov-23	Hawaii	@ Wyoming	REG	L	42-9	L	13.5	O	45	
25-Nov-23	Hawaii	vs Colorado State	REG	W	27-24	W	5.5	U	54	
31-Aug-24	Houston	vs Nevada-Las Vegas	REG	L	27-7	L	-3.5	U	55.5	
7-Sep-24	Houston	@ Oklahoma	REG	L	16-12	W	27.5	U	49.5	
14-Sep-24	Houston	vs Rice	REG	W	33-7	W	-4.5	U	45	
21-Sep-24	Houston	@ Cincinnati	REG	L	34-0	L	3.5	U	47.5	
28-Sep-24	Houston	vs Iowa State	REG	L	20-0	L	16	U	42.5	
4-Oct-24	Houston	@ Texas Christian	REG	W	30-19	W	16.5	U	52	
19-Oct-24	Houston	@ Kansas	REG	L	42-14	L	5	O	46	
26-Oct-24	Houston	vs Utah	REG	W	17-14	W	4.5	U	36.5	
2-Nov-24	Houston	vs Kansas State	REG	W	24-19	W	13	U	45.5	
15-Nov-24	Houston	@ Arizona	REG	L	27-3	L	1.5	U	46.5	
23-Nov-24	Houston	vs Baylor	REG	L	20-10	L	7	U	51	
30-Nov-24	Houston	@ Brigham Young	REG	L	30-18	W	12.5	O	40.5	
2-Sep-23	Houston	vs Texas-San Antonio	REG	W	17-14	W	2.5	U	59	
9-Sep-23	Houston	@ Rice	REG	L	43-41	L	-7	O	51	
16-Sep-23	Houston	vs Texas Christian	REG	L	36-13	L	7	U	64	
23-Sep-23	Houston	vs Sam Houston State	REG	W	38-7	W	-11.5	O	37	
30-Sep-23	Houston	@ Texas Tech	REG	L	49-28	L	8.5	O	52	
12-Oct-23	Houston	vs West Virginia	REG	W	41-39	W	3	O	49.5	
21-Oct-23	Houston	vs Texas	REG	L	31-24	W	23.5	U	60.5	
28-Oct-23	Houston	@ Kansas State	REG	L	41-0	L	17.5	U	60.5	
4-Nov-23	Houston	@ Baylor	REG	W	25-24	W	2	U	58.5	
11-Nov-23	Houston	vs Cincinnati	REG	L	24-14	L	-3	U	53.5	
18-Nov-23	Houston	vs Oklahoma State	REG	L	43-30	L	6.5	O	57.5	
25-Nov-23	Houston	@ Central Florida	REG	L	27-13	W	16	U	61	
29-Aug-24	Illinois	vs Eastern Illinois	REG	W	45-0	W	-28.5	U	50	
7-Sep-24	Illinois	vs Kansas	REG	W	23-17	W	5.5	U	58.5	
14-Sep-24	Illinois	vs Central Michigan	REG	W	30-9	P	-21	U	50	
20-Sep-24	Illinois	@ Nebraska	REG	W	31-24	W	9.5	O	42.5	
28-Sep-24	Illinois	@ Penn State	REG	L	21-7	W	19.5	U	48.5	
12-Oct-24	Illinois	vs Purdue	REG	W	50-49	L	-22.5	O	47.5	
19-Oct-24	Illinois	vs Michigan	REG	W	21-7	W	5.5	U	44.5	
26-Oct-24	Illinois	@ Oregon	REG	L	38-9	L	22	U	54.5	
2-Nov-24	Illinois	vs Minnesota	REG	L	25-17	L	2.5	U	47	
16-Nov-24	Illinois	vs Michigan State	REG	W	38-16	W	-1.5	O	47.5	
23-Nov-24	Illinois	@ Rutgers	REG	W	38-31	W	2.5	O	48	
30-Nov-24	Illinois	@ Northwestern	REG	W	38-28	W	-8.5	O	43.5	
31-Dec-24	Illinois	vs South Carolina	PST	W	21-17	W	9.5	U	50.5	
2-Sep-23	Illinois	vs Toledo	REG	W	30-28	L	-7.5	O	45.5	
8-Sep-23	Illinois	@ Kansas	REG	L	34-23	L	3.5	U	57.5	
16-Sep-23	Illinois	vs Penn State	REG	L	30-13	L	14	U	47.5	
23-Sep-23	Illinois	vs Florida Atlantic	REG	W	23-17	L	-16	U	45.5	
30-Sep-23	Illinois	@ Purdue	REG	L	44-19	L	-1	O	53.5	
6-Oct-23	Illinois	vs Nebraska	REG	L	20-7	L	-3	U	41.5	
14-Oct-23	Illinois	@ Maryland	REG	W	27-24	W	13.5	U	51.5	
21-Oct-23	Illinois	vs Wisconsin	REG	L	25-21	L	3	O	41	
4-Nov-23	Illinois	@ Minnesota	REG	W	27-26	W	2.5	O	44	
11-Nov-23	Illinois	vs Indiana	REG	W	48-45	L	-4.5	O	44	
18-Nov-23	Illinois	@ Iowa	REG	L	15-13	W	3	U	33.5	
25-Nov-23	Illinois	vs Northwestern	REG	L	45-43	L	-5.5	O	47	
31-Aug-24	Indiana	vs Florida International	REG	W	31-7	L	-25.5	U	51.5	
6-Sep-24	Indiana	vs Western Illinois	REG	W	77-3	W	-44.5	O	54.5	
14-Sep-24	Indiana	@ California-Los Angeles	REG	W	42-13	W	-3.5	O	46.5	
21-Sep-24	Indiana	vs Charlotte	REG	W	52-14	W	-28.5	O	50.5	
28-Sep-24	Indiana	vs Maryland	REG	W	42-28	W	-7.5	O	50.5	
5-Oct-24	Indiana	@ Northwestern	REG	W	41-24	W	-13	O	40.5	
19-Oct-24	Indiana	vs Nebraska	REG	W	56-7	W	-6.5	O	49	
26-Oct-24	Indiana	vs Washington	REG	W	31-17	W	-5.5	U	54	
2-Nov-24	Indiana	@ Michigan State	REG	W	47-10	W	-7.5	O	53.5	
9-Nov-24	Indiana	vs Michigan	REG	W	20-15	L	-14.5	U	47.5	
23-Nov-24	Indiana	@ Ohio State	REG	L	38-15	L	10.5	O	52.5	
30-Nov-24	Indiana	vs Purdue	REG	W	66-0	W	-29	O	56.5	
20-Dec-24	Indiana	@ Notre Dame	PST	L	27-17	L	7	U	50.5	
2-Sep-23	Indiana	vs Ohio State	REG	L	23-3	W	30	U	59.5	
8-Sep-23	Indiana	vs Indiana State	REG	W	41-7	W	-31	O	44	
16-Sep-23	Indiana	vs Louisville	REG	L	21-14	W	10	U	50.5	
23-Sep-23	Indiana	vs Akron	REG	W	29-27	L	-16.5	O	45.5	
30-Sep-23	Indiana	@ Maryland	REG	L	44-17	L	14.5	O	50	
14-Oct-23	Indiana	@ Michigan	REG	L	52-7	L	32.5	O	45	
21-Oct-23	Indiana	vs Rutgers	REG	L	31-14	L	6	O	39.5	
28-Oct-23	Indiana	@ Penn State	REG	L	33-24	W	31	O	45	
4-Nov-23	Indiana	vs Wisconsin	REG	W	20-14	W	7.5	U	44.5	
11-Nov-23	Indiana	@ Illinois	REG	L	48-45	W	4.5	O	44	
18-Nov-23	Indiana	vs Michigan State	REG	L	24-21	L	-3.5	U	47	
25-Nov-23	Indiana	@ Purdue	REG	L	35-31	W	6.5	O	55.5	
31-Aug-24	Iowa	vs Illinois State	REG	W	40-0	W	-21.5	O	37	
7-Sep-24	Iowa	vs Iowa State	REG	L	20-19	L	-2.5	O	36	
14-Sep-24	Iowa	vs Troy	REG	W	38-21	L	-23.5	O	39	
21-Sep-24	Iowa	@ Minnesota	REG	W	31-14	W	-2.5	O	35	
5-Oct-24	Iowa	@ Ohio State	REG	L	35-7	L	17.5	U	45.5	
12-Oct-24	Iowa	vs Washington	REG	W	40-16	W	-3	O	41.5	
19-Oct-24	Iowa	@ Michigan State	REG	L	32-20	L	-6.5	O	39.5	
26-Oct-24	Iowa	vs Northwestern	REG	W	40-14	W	-16.5	O	38	
2-Nov-24	Iowa	vs Wisconsin	REG	W	42-10	W	-3	O	40.5	
8-Nov-24	Iowa	@ California-Los Angeles	REG	L	20-17	L	-6.5	U	45.5	
23-Nov-24	Iowa	@ Maryland	REG	W	29-13	W	-4.5	O	40.5	
29-Nov-24	Iowa	vs Nebraska	REG	W	13-10	P	-3	U	41.5	
30-Dec-24	Iowa	@ Missouri	PST	L	27-24	L	1	O	41	
2-Sep-23	Iowa	vs Utah State	REG	W	24-14	L	-24	U	43.5	
9-Sep-23	Iowa	@ Iowa State	REG	W	20-13	W	-3.5	U	35	
16-Sep-23	Iowa	vs Western Michigan	REG	W	41-10	W	-28.5	O	43	
23-Sep-23	Iowa	@ Penn State	REG	L	31-0	L	14	U	38	
30-Sep-23	Iowa	vs Michigan State	REG	W	26-16	P	-10	O	36.5	
7-Oct-23	Iowa	vs Purdue	REG	W	20-14	W	-2.5	U	38.5	
14-Oct-23	Iowa	@ Wisconsin	REG	W	15-6	W	8.5	U	33.5	
21-Oct-23	Iowa	vs Minnesota	REG	L	12-10	L	-3.5	U	30.5	
4-Nov-23	Iowa	@ Northwestern	REG	W	10-7	L	-5	U	31.5	
11-Nov-23	Iowa	vs Rutgers	REG	W	22-0	W	-1.5	U	27.5	
18-Nov-23	Iowa	vs Illinois	REG	W	15-13	L	-3	U	33.5	
24-Nov-23	Iowa	@ Nebraska	REG	W	13-10	W	2.5	U	26	
2-Dec-23	Iowa	vs Michigan	REG	L	26-0	L	22	U	36	
1-Jan-24	Iowa	@ Tennessee	PST	L	35-0	L	5	U	37	
31-Aug-24	Iowa State	vs North Dakota	REG	W	21-3	L	-30.5	U	52	
7-Sep-24	Iowa State	@ Iowa	REG	W	20-19	W	2.5	O	36	
21-Sep-24	Iowa State	vs Arkansas State	REG	W	52-7	W	-20.5	O	52	
28-Sep-24	Iowa State	@ Houston	REG	W	20-0	W	-16	U	42.5	
5-Oct-24	Iowa State	vs Baylor	REG	W	43-21	W	-12.5	O	44.5	
12-Oct-24	Iowa State	@ West Virginia	REG	W	28-16	W	-3	U	53.5	
19-Oct-24	Iowa State	vs Central Florida	REG	W	38-35	L	-13.5	O	49.5	
2-Nov-24	Iowa State	vs Texas Tech	REG	L	23-22	L	-13.5	U	56	
9-Nov-24	Iowa State	@ Kansas	REG	L	45-36	L	-2.5	O	52.5	
16-Nov-24	Iowa State	vs Cincinnati	REG	W	34-17	W	-7	U	52.5	
23-Nov-24	Iowa State	@ Utah	REG	W	31-28	L	-6.5	O	42.5	
30-Nov-24	Iowa State	vs Kansas State	REG	W	29-21	W	-2	U	51.5	
7-Dec-24	Iowa State	@ Arizona State	REG	L	45-19	L	-1	O	50.5	
28-Dec-24	Iowa State	@ Miami-FL	PST	W	42-41	W	5	O	61.5	
2-Sep-23	Iowa State	vs Northern Iowa	REG	W	30-9	W	-7	U	40.5	
9-Sep-23	Iowa State	vs Iowa	REG	L	20-13	L	3.5	U	35	
16-Sep-23	Iowa State	@ Ohio	REG	L	10-7	L	-1.5	U	42	
23-Sep-23	Iowa State	vs Oklahoma State	REG	W	34-27	W	-3.5	O	36	
30-Sep-23	Iowa State	@ Oklahoma	REG	L	50-20	L	19.5	O	48.5	
7-Oct-23	Iowa State	vs Texas Christian	REG	W	27-14	W	6.5	U	52.5	
14-Oct-23	Iowa State	@ Cincinnati	REG	W	30-10	W	4	U	42.5	
28-Oct-23	Iowa State	@ Baylor	REG	W	30-18	W	-3	O	47	
4-Nov-23	Iowa State	vs Kansas	REG	L	28-21	L	-2.5	U	54	
11-Nov-23	Iowa State	@ Brigham Young	REG	W	45-13	W	-7.5	O	41.5	
18-Nov-23	Iowa State	vs Texas	REG	L	26-16	L	7	U	44.5	
25-Nov-23	Iowa State	@ Kansas State	REG	W	42-35	W	9.5	O	46	
29-Dec-23	Iowa State	vs Memphis	PST	L	36-26	L	-10.5	O	58.5	
29-Aug-24	Jacksonville State	vs Coastal Carolina	REG	L	55-27	L	-3.5	O	54.5	
7-Sep-24	Jacksonville State	@ Louisville	REG	L	49-14	L	28.5	O	56.5	
14-Sep-24	Jacksonville State	@ Eastern Michigan	REG	L	37-34	L	-2.5	O	54	
21-Sep-24	Jacksonville State	vs Southern Miss	REG	W	44-7	W	-6	U	59.5	
4-Oct-24	Jacksonville State	@ Kennesaw State	REG	W	63-24	W	-17	O	49.5	
9-Oct-24	Jacksonville State	vs New Mexico State	REG	W	54-13	W	-21	O	59	
