Rank,Team,Rating,v 1-10,v 11-25,v 26-40,Hi,Lo,Last,Season
90,Tulane (7-6),-4.8,0-1,0-0,0-1,78,94,90,2018
91,Wyoming (6-6),-5.6,0-0,0-4,0-1,80,108,91,2018
92,Arkansas (2-10),-7,0-3,0-3,0-0,57,95,95,2018
93,Navy (3-10),-7.2,0-1,0-1,0-1,46,97,93,2018
94,SMU (5-7),-7.5,0-1,0-1,0-1,85,110,92,2018
95,Southern Miss (6-5),-7.6,0-1,0-0,0-0,93,112,97,2018
96,Louisiana Tech (8-5),-7.9,0-1,0-1,0-0,65,98,98,2018
97,W Michigan (7-6),-8.6,0-1,0-1,0-0,71,104,94,2018
98,S Florida (7-6),-9.1,0-0,0-1,0-1,60,98,96,2018
99,Louisiana (7-7),-9.7,0-2,0-0,0-2,99,124,99,2018
100,Tulsa (3-9),-10.8,0-0,0-1,0-0,90,100,100,2018
101,UL Monroe (6-6),-12.3,0-0,0-1,0-0,98,123,102,2018
102,Rutgers (1-11),-12.5,0-3,0-0,0-3,77,121,101,2018
103,Illinois (4-8),-13,0-1,0-1,0-2,96,107,103,2018
104,Charlotte (5-7),-13.8,0-0,0-0,0-1,104,124,106,2018
105,Hawai'i (8-6),-13.8,0-0,0-2,0-0,104,129,104,2018
106,Akron (4-8),-13.9,0-0,0-0,2-Jan,83,110,105,2018
107,Liberty (6-6),-14.1,0-1,0-0,0-0,86,112,107,2018
108,New Mexico (3-9),-14.5,0-0,0-3,0-1,88,108,108,2018
109,UNLV (4-8),-14.8,0-0,0-2,0-0,94,115,109,2018
110,Louisville (2-10),-15,0-2,0-2,0-2,41,111,111,2018
111,Coastal Car (5-7),-15,0-0,0-0,0-2,98,120,110,2018
112,Oregon St (2-10),-15.5,0-1,0-1,0-3,102,120,112,2018
113,UMass (4-8),-16.1,0-1,0-0,0-1,90,117,114,2018
114,Ball St (4-8),-16.4,0-1,0-0,0-0,100,127,113,2018
115,W Kentucky (3-9),-16.4,0-0,0-0,0-1,110,123,115,2018
116,Old Dominion (4-8),-16.7,0-0,0-0,0-0,106,127,116,2018
117,Colorado St (3-9),-16.7,0-0,0-3,0-0,100,121,117,2018
118,C Michigan (1-11),-17.6,0-0,0-1,0-1,102,119,118,2018
119,San Jose St (1-11),-17.7,0-0,0-2,0-2,119,129,120,2018
120,E Carolina (3-9),-19,0-0,0-1,0-2,105,124,119,2018
121,Kent St (2-10),-19.4,0-1,0-0,0-0,115,128,121,2018
122,Georgia St (2-10),-19.5,0-0,0-0,0-2,118,127,122,2018
123,Bowling Green (3-9),-20,0-0,0-0,0-1,110,126,123,2018
124,S Alabama (3-9),-20.5,0-0,0-0,0-2,112,125,125,2018
125,Texas St (3-9),-20.6,0-0,0-0,0-1,124,128,124,2018
126,UTSA (3-9),-22.7,0-0,0-0,0-0,113,127,126,2018
127,New Mexico St (3-9),-23.8,0-0,0-1,0-0,119,129,127,2018
128,Rice (2-11),-25.1,0-0,0-1,0-0,123,130,128,2018
129,UTEP (1-11),-27.2,0-0,0-0,0-0,128,130,129,2018
130,UConn (1-11),-28.9,0-0,0-3,0-1,113,130,130,2018
1,Ohio St (13-1),39.1,1-Apr,Jan-00,Mar-00,1,6,1,2019
2,Clemson (14-1),32.7,1-Jan,Jan-00,Jan-00,1,4,2,2019
3,LSU (15-0),32.6,Apr-00,Apr-00,0-0,3,8,3,2019
4,Alabama (11-2),30.5,2-Jan,Jan-00,0-0,1,4,4,2019
5,Wisconsin (10-4),24.4,3-Jan,Feb-00,Feb-00,3,17,5,2019
6,Georgia (12-2),24.1,1-Jan,Apr-00,Feb-00,3,8,6,2019
7,Penn St (11-2),22.9,1-Jan,1-Feb,Feb-00,4,15,7,2019
8,Michigan (9-4),21.5,0-4,Feb-00,Feb-00,4,18,8,2019
9,Auburn (9-4),21.2,2-Feb,2-Jan,0-0,8,12,9,2019
10,Oregon (12-2),20.9,1-Jan,Mar-00,Jan-00,7,19,11,2019
11,Florida (11-2),20.8,2-Jan,0-0,Feb-00,8,15,10,2019
12,Notre Dame (11-2),20.4,0-2,Feb-00,Jan-00,8,16,14,2019
13,Oklahoma (12-2),18.9,0-1,Apr-00,1-Feb,6,14,13,2019
14,Utah (11-3),18.1,0-1,2-Jan,Jan-00,9,24,12,2019
15,Iowa (10-3),16.1,0-3,Mar-00,Jan-00,14,23,15,2019
16,Washington (8-5),14.7,0-1,1-Jan,Feb-00,12,28,18,2019
17,UCF (10-3),13.9,0-0,0-1,0-0,10,26,16,2019
18,Baylor (11-3),13.5,0-1,2-Feb,Mar-00,16,49,17,2019
19,Texas (8-5),13.3,0-1,3-Jan,1-Feb,16,24,23,2019
20,Texas A&M (8-5),13.1,0-5,0-0,Jan-00,10,21,19,2019
21,Minnesota (11-2),13.1,1-Feb,0-1,Jan-00,18,66,21,2019
22,Memphis (12-2),12.6,0-1,Feb-00,Jan-00,19,36,20,2019
23,USC (8-5),9.8,0-1,3-Jan,0-0,17,26,22,2019
24,Iowa St (7-6),9.8,0-0,4-Jan,2-Jan,19,66,24,2019
25,Cincinnati (11-3),9.3,0-1,2-Jan,0-0,21,51,30,2019
26,Navy (11-2),9.1,0-0,0-2,Feb-00,26,94,26,2019
27,App State (13-1),9,0-0,0-0,Mar-00,25,57,25,2019
28,Indiana (8-5),8.1,0-3,0-0,1-Jan,26,53,28,2019
29,Michigan St (7-6),7.9,0-4,0-0,Jan-00,13,31,31,2019
30,North Carolina (7-6),7.9,0-1,0-0,0-1,28,58,42,2019
31,Oklahoma St (8-5),7.8,0-0,4-Jan,Feb-00,22,46,32,2019
32,Washington St (6-7),7.6,0-1,0-2,0-1,15,32,29,2019
33,Air Force (11-2),7.1,0-0,0-0,2-Jan,33,65,38,2019
34,Boise St (12-2),7.1,0-0,0-1,Jan-00,26,39,27,2019
35,Louisiana (11-3),6.9,0-0,0-0,0-2,25,93,33,2019
36,TCU (5-7),6.8,0-0,3-Jan,0-2,25,41,34,2019
37,Kansas St (8-5),6.7,0-0,2-Feb,2-Jan,32,75,35,2019
38,Kentucky (8-5),6.6,0-1,0-1,Jan-00,36,55,39,2019
39,Missouri (6-6),6.2,0-1,0-1,0-1,18,42,41,2019
40,Nebraska (5-7),6,0-2,0-2,0-1,24,56,40,2019
41,Florida Atlantic (11-3),6,0-1,0-1,0-0,40,85,47,2019
42,Mississippi St (6-7),5.8,0-3,0-1,1-Feb,19,43,36,2019
43,Virginia (9-5),5.8,0-1,0-2,Jan-00,27,45,45,2019
44,South Carolina (4-8),5.5,2-Jan,0-2,3-Jan,25,46,44,2019
45,Tennessee (8-5),5.4,0-2,0-1,Mar-00,30,74,46,2019
46,SMU (10-3),4.8,0-0,0-1,1-Jan,30,76,37,2019
47,Arizona St (8-5),4.2,Jan-00,0-2,Feb-00,42,72,49,2019
48,Miami (6-7),4,0-0,0-1,0-1,19,49,43,2019
49,Virginia Tech (8-5),3.9,0-0,0-1,1-Jan,31,90,48,2019
50,Tulane (7-6),3.8,0-1,0-2,0-1,31,69,50,2019
51,Mississippi (4-8),3.6,0-3,0-2,0-1,50,77,51,2019
52,Florida St (6-7),2.5,0-1,0-1,0-1,36,55,52,2019
53,California (8-5),2.2,0-1,2-Jan,Jan-00,51,77,53,2019
54,Purdue (4-8),1.4,0-2,0-2,2-Jan,38,76,54,2019
55,Wake Forest (8-5),1,0-1,0-0,1-Jan,47,67,55,2019
56,Louisville (8-5),0.5,0-1,0-1,0-1,55,90,63,2019
57,Texas Tech (4-8),0.2,0-0,0-4,2-Jan,53,71,57,2019
58,Stanford (4-8),0.1,0-1,3-Jan,0-1,24,62,58,2019
59,Oregon St (5-7),-0.3,0-1,0-2,0-2,58,104,62,2019
60,Houston (4-8),-0.3,0-0,0-4,0-2,36,63,59,2019
61,Illinois (6-7),-0.6,1-Jan,0-2,1-Jan,53,92,56,2019
62,Pittsburgh (8-5),-0.7,0-1,Jan-00,Jan-00,42,68,60,2019
63,BYU (7-6),-0.8,0-0,2-Jan,Jan-00,54,72,61,2019
64,Northwestern (3-9),-1.1,0-2,0-2,0-3,32,74,66,2019
65,UCLA (4-8),-1.2,0-0,0-4,Jan-00,39,75,65,2019
66,Duke (5-7),-1.6,0-1,0-1,0-1,29,71,68,2019
67,San Diego St (10-3),-1.6,0-0,0-0,0-0,67,94,75,2019
68,Boston College (6-7),-2.2,0-1,0-2,0-0,45,86,64,2019
69,Colorado (5-7),-2.3,0-1,2-Jan,2-Jan,52,77,69,2019
70,Wyoming (8-5),-2.4,0-0,0-0,2-Jan,70,97,73,2019
71,Syracuse (5-7),-2.4,0-1,0-0,0-0,27,83,70,2019
72,Tulsa (4-8),-2.5,0-0,2-Jan,0-3,70,95,71,2019
73,Buffalo (8-5),-3.2,0-1,0-0,0-0,73,105,77,2019
74,W Michigan (7-6),-3.3,0-0,0-0,0-1,58,80,72,2019
75,Hawai'i (10-5),-3.5,0-0,0-1,0-3,63,95,78,2019
76,Temple (8-5),-3.5,0-0,2-Jan,0-1,44,78,67,2019
77,Ohio (7-6),-3.7,0-0,0-0,0-1,73,93,74,2019
78,Maryland (3-9),-4.1,0-3,0-1,0-3,16,82,76,2019
79,Army (5-8),-4.1,0-1,0-0,0-2,49,82,80,2019
80,West Virginia (5-7),-4.2,0-0,0-4,2-Feb,67,98,81,2019
81,Arizona (4-8),-4.2,0-1,0-3,0-0,48,81,79,2019
82,Louisiana Tech (10-3),-4.5,0-0,0-1,0-0,77,105,88,2019
83,W Kentucky (9-4),-4.6,0-0,0-0,0-0,76,120,84,2019
84,Utah St (7-6),-5,0-1,0-0,0-2,41,85,82,2019
85,Georgia So (7-6),-5.4,0-1,0-1,1-Jan,82,107,83,2019
86,Southern Miss (7-6),-5.5,0-1,0-0,0-0,73,86,85,2019
87,Marshall (8-5),-5.6,0-0,0-2,0-1,61,90,86,2019
88,Fresno St (4-8),-5.7,0-0,0-2,0-1,54,88,87,2019
89,Ball St (5-7),-6.8,0-0,0-0,0-1,81,113,89,2019
90,Arkansas St (8-5),-7.5,0-1,0-0,0-1,60,91,90,2019
91,S Florida (4-8),-8.4,0-1,0-3,0-1,70,100,91,2019
92,NC State (4-8),-8.5,0-1,0-0,0-1,34,93,93,2019
93,Miami OH (8-6),-8.9,0-1,0-2,0-1,89,107,95,2019
94,Arkansas (2-10),-9.1,0-3,0-1,0-2,72,102,94,2019
95,Middle Tenn (4-8),-9.5,0-1,0-1,0-0,87,106,96,2019
96,Vanderbilt (3-9),-9.7,0-2,0-1,1-Jan,60,107,98,2019
97,Liberty (8-5),-10,0-0,0-0,0-1,96,118,99,2019
98,Troy (5-7),-10.2,0-0,0-0,0-3,81,104,97,2019
99,UAB (9-5),-10.4,0-0,0-0,0-1,91,108,100,2019
100,C Michigan (8-6),-10.4,0-1,0-0,0-0,91,127,92,2019
101,Kent St (7-6),-10.8,0-2,0-0,0-0,99,124,109,2019
102,E Michigan (6-7),-10.8,0-0,0-0,0-1,90,113,102,2019
103,San Jose St (5-7),-11,0-0,0-0,0-2,103,120,103,2019
104,Kansas (3-9),-11.2,0-0,0-4,0-3,94,120,101,2019
105,N Texas (4-8),-11.3,0-0,0-0,0-0,78,105,104,2019
106,Florida Intl (6-7),-11.7,0-0,0-0,0-0,88,114,107,2019
107,Georgia Tech (3-9),-11.7,0-2,0-0,0-1,75,109,105,2019
108,Colorado St (4-8),-11.8,0-0,0-0,0-2,107,119,110,2019
109,UL Monroe (5-7),-11.9,0-0,0-2,0-2,87,114,106,2019
110,N Illinois (5-7),-12,0-0,0-1,0-1,86,110,108,2019
111,Georgia St (7-6),-12.9,0-0,0-0,0-1,91,118,111,2019
112,Charlotte (7-6),-12.9,0-1,0-0,0-1,105,117,112,2019
113,Coastal Car (5-7),-13.4,0-0,0-0,0-2,97,123,113,2019
114,Toledo (6-6),-13.7,0-0,0-0,0-1,70,115,114,2019
115,E Carolina (4-8),-14.5,0-0,0-2,0-1,102,117,115,2019
116,Rice (3-9),-16,0-0,0-2,0-0,116,128,117,2019
117,UNLV (4-8),-16.1,0-0,0-0,0-1,101,119,116,2019
118,Nevada (7-6),-16.4,0-1,0-0,0-0,84,123,119,2019
119,Rutgers (2-10),-16.8,0-3,0-2,0-2,95,123,118,2019
120,S Alabama (2-10),-18.6,0-0,0-1,0-3,111,123,120,2019
121,Texas St (3-9),-19.1,0-0,0-1,0-2,109,121,121,2019
122,New Mexico (2-10),-20.3,0-0,0-1,0-2,114,123,122,2019
123,UTSA (4-8),-22,0-0,0-2,0-0,119,127,124,2019
124,Old Dominion (1-11),-22.1,0-0,0-0,0-0,120,126,123,2019
125,New Mexico St (2-10),-24.5,0-1,0-0,0-1,119,126,125,2019
126,UConn (2-10),-25.3,0-0,0-2,0-2,123,128,126,2019
127,UTEP (1-11),-29,0-0,0-0,0-0,127,129,127,2019
128,Bowling Green (3-9),-29.5,0-0,0-1,0-1,111,128,128,2019
129,Akron (0-12),-35.3,0-0,0-0,0-0,124,129,129,2019
130,UMass (1-11),-42.3,0-0,0-0,0-0,130,130,130,2019
1,Alabama (13-0),38.5,May-00,Jan-00,Feb-00,1,3,1,2020
2,Clemson (10-2),28.8,2-Jan,Jan-00,Mar-00,1,3,2,2020
3,Ohio St (7-1),28.6,1-Jan,Mar-00,0-0,1,3,3,2020
4,Oklahoma (9-2),24.8,1-Mar,Feb-00,0-0,4,14,5,2020
5,Georgia (8-2),22.4,0-2,Feb-00,0-0,3,8,4,2020
6,Notre Dame (10-2),19.7,2-Jan,Jan-00,Feb-00,4,10,6,2020
7,Texas A&M (9-1),18.8,1-Jan,Feb-00,Jan-00,7,26,8,2020
8,Texas (7-3),18.1,0-2,1-Jan,Jan-00,6,19,12,2020
9,Florida (8-4),18,3-Jan,0-0,1-Jan,5,12,7,2020
10,Iowa St (9-3),17.9,1-Feb,1-Feb,1-Jan,9,33,13,2020
11,BYU (11-1),17.8,0-0,0-0,1-Feb,5,46,10,2020
12,Iowa (6-2),17.3,0-0,1-Feb,Jan-00,9,48,9,2020
13,Wisconsin (4-3),16.9,0-0,0-3,Feb-00,4,14,14,2020
14,Cincinnati (9-1),15.9,0-1,0-0,Feb-00,10,44,11,2020
15,Indiana (6-2),14.1,0-1,Feb-00,0-1,14,37,15,2020
16,Oklahoma St (8-3),14.1,2-Jan,1-Jan,Feb-00,5,25,19,2020
17,Arizona St (2-2),13.5,0-0,0-1,0-1,17,48,17,2020
18,North Carolina (8-4),13.1,0-2,Jan-00,Feb-00,11,26,16,2020
19,Northwestern (7-2),12.8,0-1,Mar-00,0-0,13,61,24,2020
20,USC (5-1),12.4,0-0,1-Jan,Feb-00,11,23,20,2020
21,Auburn (6-5),12.2,0-3,0-1,Feb-00,7,23,18,2020
22,Miami (8-3),12,0-1,0-2,Mar-00,8,23,21,2020
23,Oregon (4-3),11,0-1,Jan-00,Jan-00,8,23,23,2020
24,Penn St (4-5),10.6,0-1,0-2,0-0,6,37,25,2020
25,TCU (6-4),10.6,2-Jan,Jan-00,0-1,18,43,26,2020
26,UCF (6-4),10.1,0-0,0-2,0-1,8,26,22,2020
27,LSU (5-5),8.8,2-Jan,0-1,Jan-00,5,32,27,2020
28,Mississippi (5-5),8.4,0-2,1-Jan,0-1,26,47,31,2020
29,Wake Forest (4-5),7.6,0-1,0-2,1-Jan,21,39,28,2020
30,Coastal Car (11-1),7.4,0-0,Jan-00,Jan-00,26,64,29,2020
31,Tulsa (6-3),6.6,0-0,0-2,Jan-00,19,40,30,2020
32,UCLA (3-4),6.6,0-0,2-Jan,0-0,27,66,32,2020
33,West Virginia (6-4),6.2,0-2,1-Jan,0-0,26,52,38,2020
34,Virginia Tech (5-6),6,0-1,0-2,2-Jan,16,41,33,2020
35,Louisiana (10-1),6,Jan-00,0-0,0-1,17,59,36,2020
36,Utah (3-2),5.9,0-0,0-1,0-0,34,57,35,2020
37,Pittsburgh (6-5),5.9,0-2,0-1,Feb-00,21,59,34,2020
38,Louisville (4-7),5.4,0-1,0-1,2-Jan,23,63,37,2020
39,Boise St (5-2),5.4,0-0,0-1,0-0,18,40,40,2020
40,Minnesota (3-4),5.2,0-0,0-2,0-0,22,61,41,2020
41,Kentucky (5-6),5.1,0-3,0-1,0-1,16,46,39,2020
42,Buffalo (6-1),4.9,0-0,0-0,0-0,35,68,47,2020
43,Michigan (2-4),4.7,0-0,0-3,Jan-00,7,45,43,2020
44,App State (9-3),4.7,0-0,0-0,0-2,19,54,46,2020
45,Virginia (5-5),4.4,0-1,1-Jan,2-Jan,21,54,42,2020
46,Washington (3-1),4.4,0-0,0-0,Jan-00,27,48,44,2020
47,Baylor (2-7),4.1,0-3,0-2,0-1,15,53,53,2020
48,Nebraska (3-5),4,0-1,2-Jan,0-1,32,61,48,2020
49,Mississippi St (4-7),3.2,0-3,0-1,1-Feb,18,68,54,2020
50,Tennessee (3-7),3,0-4,0-1,0-0,14,56,52,2020
51,Boston College (6-5),2.9,0-2,0-1,1-Feb,21,63,50,2020
52,Stanford (4-2),2.8,0-0,0-1,Jan-00,48,64,51,2020
53,Tulane (6-6),2.5,0-0,0-0,0-2,35,66,45,2020
54,Arkansas (3-7),2.4,0-4,0-1,1-Jan,42,65,55,2020
55,NC State (8-4),2.1,0-0,0-2,1-Feb,35,56,56,2020
56,Missouri (5-5),2.1,0-3,0-0,Jan-00,39,59,57,2020
57,Kansas St (4-6),2,2-Jan,1-Jan,0-1,26,64,60,2020
58,California (1-3),1.4,0-0,Jan-00,0-1,36,71,58,2020
59,Purdue (2-4),1.3,0-0,1-Jan,0-1,43,66,61,2020
60,SMU (7-3),1,0-0,0-1,0-1,25,61,59,2020
61,Air Force (3-3),0.6,0-0,0-0,0-1,28,75,62,2020
62,Houston (3-5),0.5,0-0,0-2,0-1,23,63,49,2020
63,Ball St (7-1),0.4,0-0,0-0,0-0,63,103,75,2020
64,UAB (6-3),0.1,0-0,0-1,0-1,42,71,63,2020
65,Liberty (10-1),0,0-0,0-0,Feb-00,57,94,69,2020
66,Marshall (7-3),0,0-0,0-0,0-0,34,68,64,2020
67,San Diego St (4-4),-0.1,0-0,0-1,0-0,47,72,67,2020
68,Army (9-3),-0.7,0-0,0-1,0-1,27,75,70,2020
69,Memphis (8-3),-1,0-0,0-1,Jan-00,21,71,68,2020
70,Maryland (2-3),-1.3,0-0,2-Jan,Jan-00,68,104,72,2020
71,San Jose St (7-1),-1.4,0-0,0-0,Jan-00,62,116,66,2020
72,Rutgers (3-6),-1.6,0-1,0-2,0-0,69,96,73,2020
73,Oregon St (2-5),-1.7,0-0,1-Jan,0-1,70,91,71,2020
74,Colorado (4-2),-1.9,0-1,0-0,1-Jan,53,88,65,2020
75,Texas Tech (4-6),-2,0-3,0-2,Jan-00,41,79,77,2020
76,Washington St (1-3),-2.4,0-0,0-2,0-1,60,76,74,2020
77,South Carolina (2-8),-2.5,0-3,Jan-00,0-2,22,78,76,2020
78,Toledo (4-2),-3.4,0-0,0-0,0-0,75,91,79,2020
79,Wyoming (2-4),-3.7,0-0,0-0,0-1,73,91,80,2020
80,Michigan St (2-5),-3.8,0-1,3-Jan,0-0,64,89,78,2020
81,Georgia So (8-5),-4.4,0-0,0-0,0-2,49,101,86,2020
82,Nevada (7-2),-4.7,0-0,0-0,0-0,81,114,91,2020
83,Illinois (2-6),-4.7,0-0,0-4,0-1,69,94,82,2020
84,W Michigan (4-2),-4.8,0-0,0-0,0-0,62,92,84,2020
85,Ohio (2-1),-5.2,0-0,0-0,0-0,70,85,83,2020
86,Florida St (3-6),-5.3,0-1,1-Jan,0-2,28,91,81,2020
87,Georgia St (6-4),-6,0-0,0-0,0-2,49,105,94,2020
88,Miami OH (2-1),-6.1,0-0,0-0,0-0,83,104,89,2020
89,C Michigan (3-3),-6.4,0-0,0-0,0-0,74,97,92,2020
90,Troy (5-6),-6.5,0-0,0-1,0-1,46,100,90,2020
91,E Carolina (3-6),-6.7,0-0,0-1,0-2,62,104,85,2020
92,Rice (2-3),-6.9,0-0,0-0,0-0,61,113,88,2020
93,Georgia Tech (3-7),-7.2,0-2,0-0,2-Jan,44,99,87,2020
94,Syracuse (1-10),-7.6,0-2,0-1,0-3,44,95,93,2020
95,Duke (2-9),-8.5,0-1,0-2,0-1,37,95,95,2020
96,Hawai'i (5-4),-8.7,0-0,0-0,0-1,88,110,104,2020
97,Navy (3-7),-9.1,0-0,0-1,0-1,24,98,96,2020
98,UTSA (7-5),-9.2,0-0,0-1,0-1,64,107,97,2020
99,Kent St (3-1),-9.5,0-0,0-0,0-0,88,110,99,2020
100,Florida Atlantic (5-4),-10.2,0-0,0-0,0-0,55,101,98,2020
101,Fresno St (3-3),-10.2,0-0,0-0,0-0,92,112,102,2020
102,Colorado St (1-3),-10.8,0-0,0-0,0-1,78,106,103,2020
103,Arkansas St (4-7),-10.8,0-0,0-0,0-2,50,106,101,2020
104,W Kentucky (5-7),-11.5,0-0,0-1,0-1,48,109,100,2020
105,E Michigan (2-4),-11.8,0-0,0-0,0-0,105,121,107,2020
106,Arizona (0-5),-12.2,0-0,0-2,0-1,75,106,106,2020
107,S Florida (1-8),-13.3,0-1,0-1,0-2,53,113,108,2020
108,Louisiana Tech (5-5),-13.7,0-0,0-2,0-0,57,108,105,2020
109,S Alabama (4-7),-14.1,0-0,0-0,0-2,61,113,109,2020
110,Charlotte (2-4),-14.5,0-0,0-0,0-0,56,111,110,2020
111,New Mexico (2-5),-14.6,0-0,0-0,0-0,109,120,114,2020
112,Vanderbilt (0-9),-14.8,0-2,0-0,0-2,56,114,112,2020
113,Texas St (2-10),-14.8,0-0,0-1,0-2,67,116,113,2020
114,Temple (1-6),-15.3,0-0,0-0,0-1,50,114,111,2020
115,N Illinois (0-6),-15.7,0-0,0-0,0-0,105,118,116,2020
116,Southern Miss (3-7),-15.9,0-0,0-0,0-0,53,120,115,2020
117,Kansas (0-9),-17.3,0-2,0-2,0-2,56,120,117,2020
118,Middle Tenn (3-6),-18.6,0-0,0-0,0-0,69,122,118,2020
119,N Texas (4-6),-19.6,0-0,0-0,0-0,62,121,119,2020
120,Utah St (1-5),-19.7,0-0,0-0,0-1,98,121,121,2020
121,Florida Intl (0-5),-20.2,0-0,0-0,0-0,68,121,120,2020
122,UNLV (0-6),-22.6,0-0,0-0,0-0,118,122,122,2020
123,UTEP (3-5),-25.1,0-1,0-0,0-0,76,123,123,2020
124,UL Monroe (0-10),-28.6,0-0,0-0,0-1,70,126,124,2020
125,Akron (1-5),-31.5,0-0,0-0,0-0,124,126,125,2020
126,Bowling Green (0-5),-36.9,0-0,0-0,0-0,125,126,126,2020
127,UMass (0-4),-37.5,0-0,0-0,0-0,127,127,127,2020
1,Georgia (14-1),33.7,1-Mar,Feb-00,Mar-00,1,5,1,2021
2,Ohio St (11-2),27.9,0-1,Jun-00,0-1,2,6,2,2021
3,Alabama (13-2),27.7,1-Feb,1-Mar,May-00,1,3,3,2021
4,Michigan (12-2),23.2,1-Feb,1-Feb,Jan-00,4,23,4,2021
5,Notre Dame (11-2),18.7,2-Jan,Jan-00,0-0,5,25,5,2021
6,Cincinnati (13-1),18,1-Jan,0-0,Jan-00,4,13,6,2021
7,Oklahoma (11-2),17.3,0-1,1-Feb,Mar-00,3,9,8,2021
8,Oklahoma St (12-2),17.1,Feb-00,2-Jan,Mar-00,7,62,9,2021
9,Clemson (10-3),16.3,0-1,2-Feb,0-0,2,13,10,2021
10,Wisconsin (9-4),16,0-2,2-Feb,Feb-00,5,30,7,2021
11,Utah (10-4),15.4,0-1,0-0,Apr-00,11,54,11,2021
12,Iowa St (7-6),15.1,2-Jan,0-1,1-Feb,7,31,15,2021
13,Texas A&M (8-4),14.5,Jan-00,2-Jan,0-2,6,21,13,2021
14,Baylor (12-2),13.8,1-Feb,Feb-00,Feb-00,14,70,19,2021
15,Pittsburgh (11-3),13.7,Jan-00,1-Jan,1-Jan,9,43,12,2021
16,Penn St (7-6),13.6,2-Jan,2-Jan,0-1,7,17,14,2021
17,Mississippi (10-3),13.2,0-1,2-Feb,Mar-00,7,27,16,2021
18,Arkansas (9-4),12,0-2,2-Feb,Mar-00,14,39,21,2021
19,NC State (9-3),11.9,Jan-00,0-1,0-2,17,48,18,2021
20,Auburn (6-7),11.9,0-2,2-Feb,2-Jan,7,21,17,2021
21,Wake Forest (11-3),11.4,0-1,1-Jan,0-0,17,45,22,2021
22,Purdue (9-4),11.1,0-3,1-Feb,Feb-00,20,58,20,2021
23,Nebraska (3-9),10.7,0-4,0-3,0-1,17,53,23,2021
24,Minnesota (9-4),10.6,1-Jan,Feb-00,0-1,22,59,26,2021
25,Michigan St (11-2),10.5,1-Jan,1-Mar,Jan-00,19,65,28,2021
26,Iowa (10-4),10.2,0-2,1-Apr,0-1,6,26,24,2021
27,UCLA (8-4),9.9,0-0,0-1,2-Jan,16,42,25,2021
28,Texas (5-7),9.8,0-2,0-3,Jan-00,8,32,32,2021
29,Tennessee (7-6),9.8,0-2,0-3,1-Jan,22,74,27,2021
30,Kentucky (10-3),9,0-1,0-0,2-Mar,30,70,33,2021
31,Oregon (10-4),8.4,1-Jan,0-2,Jan-00,9,33,29,2021
32,Miami (7-5),8.4,0-1,1-Feb,Jan-00,13,46,30,2021
33,Kansas St (8-5),8.3,0-2,0-2,1-Jan,33,65,42,2021
34,Houston (12-2),8,0-1,Jan-00,0-0,34,76,40,2021
35,Florida (6-7),7.9,0-2,0-0,2-Jan,7,37,31,2021
36,Boise St (7-5),7.7,0-1,0-0,0-0,29,44,38,2021
37,Arizona St (8-5),7.1,0-1,0-1,Jan-00,22,55,39,2021
38,LSU (6-7),7,0-1,3-Jan,3-Feb,10,38,35,2021
39,App State (10-4),6.7,0-0,0-0,0-1,30,51,36,2021
40,Mississippi St (7-6),6.4,0-1,2-Mar,1-Jan,31,60,34,2021
41,BYU (10-3),6.1,0-0,1-Jan,1-Jan,41,59,41,2021
42,North Carolina (6-7),5.9,0-1,2-Jan,Jan-00,10,42,37,2021
43,Louisville (6-7),5.6,0-1,0-3,0-1,30,73,43,2021
44,Louisiana (13-1),5.1,0-0,0-0,1-Feb,25,77,49,2021
45,West Virginia (6-7),4.9,0-2,2-Jan,1-Jan,18,48,46,2021
46,SMU (8-4),4.8,0-1,0-0,0-1,40,72,45,2021
47,W Kentucky (9-5),4.8,0-0,0-1,Jan-00,44,107,53,2021
48,Coastal Car (11-2),4.1,0-0,0-0,0-1,24,53,47,2021
49,Virginia (6-6),3.7,0-1,0-2,Jan-00,26,55,48,2021
50,Liberty (8-5),3.7,0-0,0-1,0-0,27,60,60,2021
51,Oregon St (7-6),3.7,0-0,1-Jan,1-Jan,43,75,44,2021
52,UCF (9-4),3.4,0-1,0-0,Feb-00,18,58,57,2021
53,Florida St (5-7),3.2,0-2,0-2,1-Jan,49,89,50,2021
54,Army (9-4),2.8,0-1,0-1,0-0,43,76,54,2021
55,Washington St (7-6),2.7,0-0,0-1,1-Jan,52,96,52,2021
56,Air Force (10-3),2.6,0-0,0-0,Jan-00,55,94,59,2021
57,Texas Tech (7-6),2.2,0-2,1-Jan,2-Feb,50,78,72,2021
58,Maryland (7-6),2.2,0-2,0-3,0-1,20,79,71,2021
59,Fresno St (10-3),1.9,0-0,0-0,2-Jan,41,93,56,2021
60,Nevada (8-5),1.5,0-0,0-0,1-Jan,51,74,51,2021
61,UTSA (12-2),1.5,0-0,0-0,0-0,49,92,58,2021
62,UAB (9-4),1.3,0-1,0-0,0-0,54,77,67,2021
63,USC (4-8),1.2,0-1,0-1,0-2,17,64,61,2021
64,Illinois (5-7),1,0-1,1-Mar,0-1,61,87,63,2021
65,South Carolina (7-6),0.8,0-2,1-Jan,2-Jan,64,88,73,2021
66,Marshall (7-6),0.7,0-0,0-0,0-1,44,79,62,2021
67,Washington (4-8),0.6,0-1,0-0,0-3,23,71,64,2021
