,game_id,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,favorite_covered
2996,2011-11-05_Ball State_Eastern Michigan,home,away,2011-11-05,33,31,Ball State,Eastern Michigan,54.5,2.0,O,y,n,-474.98,1152.84,Ball State_Eastern Michigan,n
2997,2011-11-05_Baylor_Missouri,home,away,2011-11-05,39,42,Missouri,Baylor,74.0,3.0,O,y,n,-276.2142857142857,695.625,Baylor_Missouri,n
2998,2011-11-05_Boise State_UNLV,away,home,2011-11-05,48,21,Boise State,UNLV,59.5,42.5,O,n,y,-370.0,35000.0,Boise State_UNLV,n
2999,2011-11-05_California_Washington State,home,away,2011-11-05,7,30,Washington State,California,56.0,8.0,U,y,n,-500,260,California_Washington State,y
3000,2011-11-05_Cincinnati_Pittsburgh,away,home,2011-11-05,26,23,Cincinnati,Pittsburgh,57.0,4.0,U,y,n,-252.21686746987953,446.71084337349396,Cincinnati_Pittsburgh,n
3001,2011-11-05_Connecticut_Syracuse,home,away,2011-11-05,21,28,Syracuse,Connecticut,43.5,1.5,O,y,n,-323.8360655737705,475,Connecticut_Syracuse,y
3002,2011-11-05_Duke_Miami FL,home,away,2011-11-05,14,49,Duke,Miami FL,57.5,15.0,O,y,n,-540.32,502.0,Duke_Miami FL,y
3003,2011-11-05_East Carolina_Southern Miss,away,home,2011-11-05,48,28,Southern Miss,East Carolina,59.0,9.5,O,y,n,-350,260,East Carolina_Southern Miss,y
3004,2011-11-05_FCS_Kentucky,away,home,2011-11-05,13,30,FCS,Kentucky,44.5,2.5,U,y,n,-140,412.0,FCS_Kentucky,n
3005,2011-11-05_FCS_Rutgers,away,home,2011-11-05,17,20,FCS,Rutgers,49.0,2.0,U,y,n,-145,1152.84,FCS_Rutgers,n
3006,2011-11-05_FCS_San Jose State,home,away,2011-11-05,32,29,FCS,San Jose State,47.0,8.5,O,y,n,-370.22222222222223,1141.0740740740741,FCS_San Jose State,n
3007,2011-11-05_FCS_Tennessee,home,away,2011-11-05,0,24,FCS,Tennessee,54.0,23.0,U,y,n,-566.0769230769231,350,FCS_Tennessee,y
3008,2011-11-05_FCS_Western Kentucky,away,home,2011-11-05,9,10,FCS,Western Kentucky,49.5,3.0,U,y,n,-276.2142857142857,695.625,FCS_Western Kentucky,n
3009,2011-11-05_Florida_Vanderbilt,home,away,2011-11-05,21,26,Vanderbilt,Florida,44.5,13.0,O,y,n,-462.03125,577.53125,Florida_Vanderbilt,n
3010,2011-11-05_Fresno State_Louisiana Tech,home,away,2011-11-05,41,21,Louisiana Tech,Fresno State,58.0,3.5,O,y,n,-252.70491803278688,1557.639344262295,Fresno State_Louisiana Tech,n
3011,2011-11-05_Georgia_New Mexico State,home,away,2011-11-05,16,63,New Mexico State,Georgia,57.0,34.5,O,y,n,-3561.875,6212.125,Georgia_New Mexico State,y
3012,2011-11-05_Hawaii_Utah State,home,away,2011-11-05,35,31,Utah State,Hawaii,61.5,3.5,O,y,n,-252.70491803278688,270,Hawaii_Utah State,n
3013,2011-11-05_Houston_UAB,away,home,2011-11-05,56,13,Houston,UAB,76.0,28.0,U,n,y,-175,2040.3846153846155,Houston_UAB,y
3014,2011-11-05_Indiana_Ohio State,home,away,2011-11-05,20,34,Indiana,Ohio State,52.0,28.0,O,y,n,-1864.1538461538462,400,Indiana_Ohio State,n
3015,2011-11-05_Iowa State_Kansas,home,away,2011-11-05,10,13,Kansas,Iowa State,58.0,14.5,U,y,n,-730.8421052631579,600,Iowa State_Kansas,n
3016,2011-11-05_Iowa_Michigan,away,home,2011-11-05,16,24,Michigan,Iowa,58.0,4.0,U,y,n,-252.21686746987953,446.71084337349396,Iowa_Michigan,n
