,game_id,full_date,spread,ou,ou_total,home,away,match_key,home_score,away_score,fav_side,dog_side,favorite_covered,spread_home_cover,spread_away_cover,ml_fav,ml_dog
468,2023-11-04_Oklahoma_Oklahoma State,2023-11-04,6.0,U,62.5,Oklahoma State,Oklahoma,Oklahoma_Oklahoma State,27,24,home,away,n,n,y,-524.776119402985,786.1044776119403
469,2023-11-04_Ole Miss_Texas A&M,2023-11-04,3.0,O,51.5,Ole Miss,Texas A&M,Ole Miss_Texas A&M,38,35,home,away,n,n,y,-276.2142857142857,695.625
470,2023-11-04_San Diego State_Utah State,2023-11-04,2.5,E,56.0,San Diego State,Utah State,San Diego State_Utah State,24,32,away,home,y,n,y,-378.39325842696627,412.0
471,2023-11-04_Stanford_Washington State,2023-11-04,14.0,U,58.0,Washington State,Stanford,Stanford_Washington State,7,10,away,home,n,y,n,-480.8358208955224,508.25373134328356
472,2023-11-04_UTEP_Western Kentucky,2023-11-04,9.5,U,54.0,UTEP,Western Kentucky,UTEP_Western Kentucky,13,21,away,home,n,y,n,-378.86538461538464,437.7307692307692
473,2023-11-07_Ball State_Northern Illinois,2023-11-07,9.0,U,43.5,Northern Illinois,Ball State,Ball State_Northern Illinois,17,20,away,home,n,y,n,-311.2972972972973,422.86486486486484
474,2023-11-07_Buffalo_Ohio,2023-11-07,9.0,U,45.0,Buffalo,Ohio,Buffalo_Ohio,10,20,away,home,y,n,y,-311.2972972972973,422.86486486486484
475,2023-11-07_Central Michigan_Western Michigan,2023-11-07,3.0,O,58.0,Western Michigan,Central Michigan,Central Michigan_Western Michigan,38,28,away,home,n,y,n,-276.2142857142857,695.625
476,2023-11-08_Akron_Miami OH,2023-11-08,17.0,U,37.5,Miami OH,Akron,Akron_Miami OH,19,0,home,away,y,y,n,-620.0,635.2702702702703
477,2023-11-08_Bowling Green_Kent State,2023-11-08,11.0,O,41.5,Kent State,Bowling Green,Bowling Green_Kent State,19,49,away,home,y,n,y,-377.4,748.5
478,2023-11-08_Eastern Michigan_Toledo,2023-11-08,20.0,O,45.0,Toledo,Eastern Michigan,Eastern Michigan_Toledo,49,23,away,home,n,y,n,-887.578947368421,627.2631578947369
479,2023-11-09_Louisiana Lafayette_Southern Miss,2023-11-09,7.5,O,52.5,Louisiana Lafayette,Southern Miss,Louisiana Lafayette_Southern Miss,31,34,home,away,n,n,y,-367.5833333333333,977.5555555555555
480,2023-11-09_Louisville_Virginia,2023-11-09,20.0,O,50.0,Louisville,Virginia,Louisville_Virginia,31,24,home,away,n,n,y,-887.578947368421,627.2631578947369
481,2023-11-10_North Texas_SMU,2023-11-10,21.0,U,67.0,SMU,North Texas,North Texas_SMU,45,21,home,away,y,y,n,-855.2,704.6285714285714
482,2023-11-11_Air Force_Hawaii,2023-11-11,20.0,U,46.5,Hawaii,Air Force,Air Force_Hawaii,27,13,home,away,n,n,y,-887.578947368421,627.2631578947369
483,2023-11-11_Appalachian State_Georgia State,2023-11-11,3.0,U,62.5,Georgia State,Appalachian State,Appalachian State_Georgia State,14,42,away,home,y,n,y,-276.2142857142857,695.625
484,2023-11-11_Arizona State_UCLA,2023-11-11,14.0,U,45.0,UCLA,Arizona State,Arizona State_UCLA,7,17,home,away,n,n,y,-480.8358208955224,508.25373134328356
485,2023-11-11_Arizona_Colorado,2023-11-11,8.0,O,55.5,Colorado,Arizona,Arizona_Colorado,31,34,home,away,n,n,y,-434.64102564102564,358.0
486,2023-11-11_Arkansas_Auburn,2023-11-11,2.5,O,47.0,Arkansas,Auburn,Arkansas_Auburn,10,48,away,home,y,n,y,-378.39325842696627,412.0
487,2023-11-11_Baylor_Kansas State,2023-11-11,21.0,O,55.0,Kansas State,Baylor,Baylor_Kansas State,59,25,away,home,n,y,n,-855.2,704.6285714285714
488,2023-11-11_Boise State_New Mexico,2023-11-11,27.5,U,59.5,Boise State,New Mexico,Boise State_New Mexico,42,14,home,away,y,y,n,-3594.4117647058824,1418.1176470588234
489,2023-11-11_Boston College_Virginia Tech,2023-11-11,2.5,O,48.0,Boston College,Virginia Tech,Boston College_Virginia Tech,22,48,away,home,y,n,y,-378.39325842696627,412.0
490,2023-11-11_California_Washington State,2023-11-11,2.0,O,60.0,California,Washington State,California_Washington State,42,39,home,away,y,y,n,-474.98,1152.84
491,2023-11-11_Charlotte_Memphis,2023-11-11,10.0,O,51.5,Charlotte,Memphis,Charlotte_Memphis,38,44,away,home,n,y,n,-521.3134328358209,471.5074626865672
492,2023-11-11_Cincinnati_Houston,2023-11-11,3.0,U,53.5,Houston,Cincinnati,Cincinnati_Houston,14,24,away,home,y,n,y,-276.2142857142857,695.625
493,2023-11-11_Clemson_Georgia Tech,2023-11-11,14.5,O,54.5,Clemson,Georgia Tech,Clemson_Georgia Tech,42,21,away,home,n,y,n,-730.8421052631579,496.3421052631579
494,2023-11-11_Coastal Carolina_Texas State,2023-11-11,2.5,U,55.0,Coastal Carolina,Texas State,Coastal Carolina_Texas State,31,23,away,home,n,y,n,-378.39325842696627,412.0
495,2023-11-11_Colorado State_San Diego State,2023-11-11,3.5,U,47.0,Colorado State,San Diego State,Colorado State_San Diego State,22,19,home,away,n,n,y,-252.70491803278688,1557.639344262295
496,2023-11-11_Connecticut_James Madison,2023-11-11,25.5,O,48.5,James Madison,Connecticut,Connecticut_James Madison,44,6,home,away,y,y,n,-1662.0,888.2
497,2023-11-11_Duke_North Carolina,2023-11-11,10.0,O,53.5,North Carolina,Duke,Duke_North Carolina,47,45,away,home,n,n,y,-521.3134328358209,471.5074626865672
498,2023-11-11_East Carolina_FAU,2023-11-11,7.5,U,44.5,FAU,East Carolina,East Carolina_FAU,7,22,home,away,n,n,y,-367.5833333333333,977.5555555555555
499,2023-11-11_Florida State_Miami FL,2023-11-11,14.5,U,50.0,Florida State,Miami FL,Florida State_Miami FL,27,20,away,home,n,n,y,-730.8421052631579,496.3421052631579
500,2023-11-11_Florida_LSU,2023-11-11,16.5,O,68.0,LSU,Florida,Florida_LSU,52,35,home,away,y,y,n,-1718.775,539.65
501,2023-11-11_Fresno State_San Jose State,2023-11-11,2.0,O,52.0,San Jose State,Fresno State,Fresno State_San Jose State,42,18,away,home,n,y,n,-474.98,1152.84
502,2023-11-11_Georgia Southern_Marshall,2023-11-11,1.5,O,56.5,Marshall,Georgia Southern,Georgia Southern_Marshall,38,33,home,away,y,y,n,-323.8360655737705,588.6229508196722
