Team	Rating	v 1-10	v 11-25	v 26-40	Hi	Lo	Last	Season
Arizona 	-7.6	0-1	0-4	0-2	35	91	86	2016
Cincinnati 	-8.5	0-0	0-0	0-5	56	95	92	2016
SMU 	-8.8	0-0	0-0	1-4	82	101	93	2016
E Carolina 	-9.2	0-0	0-1	1-2	63	95	94	2016
C Michigan 	-9.3	0-0	1-1	0-0	45	95	88	2016
Illinois 	-9.6	0-2	0-1	0-2	71	95	95	2016
Tulane 	-9.9	0-0	0-0	0-3	90	115	96	2016
UTSA 	-10.3	0-0	0-1	0-0	96	124	97	2016
E Michigan 	-11	0-0	0-1	0-0	96	123	98	2016
Miami OH 	-11.6	0-0	0-1	0-1	99	121	100	2016
Louisiana 	-12.3	0-0	0-0	0-1	100	117	101	2016
Ball St 	-12.7	0-0	0-1	0-0	86	105	102	2016
Nevada 	-13	0-0	0-0	0-1	92	115	104	2016
Purdue 	-13.3	0-1	0-1	0-1	87	110	103	2016
S Alabama 	-13.9	0-0	0-0	0-0	98	118	105	2016
San Jose St 	-14	0-0	0-0	0-2	82	118	108	2016
Kent St 	-14.1	0-1	0-2	0-0	98	111	106	2016
Akron 	-14.2	0-1	0-1	0-0	89	111	107	2016
UNLV 	-14.5	0-0	0-0	0-1	91	111	110	2016
UConn 	-14.9	0-0	0-0	0-3	79	111	109	2016
Kansas 	-15.2	0-1	0-2	0-3	101	118	113	2016
Rutgers 	-15.3	0-3	0-1	0-1	80	113	111	2016
Marshall 	-15.4	0-1	0-1	0-1	29	113	112	2016
Hawai'i 	-15.4	0-1	0-0	0-1	106	125	117	2016
Georgia St 	-15.6	0-1	0-0	0-0	98	120	114	2016
N Texas 	-16.4	0-0	0-2	0-0	99	125	116	2016
Bowling Green 	-16.8	0-1	0-0	0-1	77	124	115	2016
Fresno St 	-18.7	0-0	0-0	0-0	104	119	118	2016
UMass 	-19.1	0-0	0-1	0-1	116	126	120	2016
Florida Intl 	-19.2	0-0	0-1	0-0	114	125	119	2016
Rice 	-19.7	0-0	0-2	0-1	109	124	121	2016
Charlotte 	-20.8	0-1	0-0	0-1	119	128	122	2016
Florida Atlantic 	-21.1	0-0	0-3	0-0	105	124	123	2016
UTEP 	-21.4	0-0	0-0	0-0	114	128	124	2016
New Mexico St 	-21.8	0-0	0-1	0-0	125	128	125	2016
UL Monroe 	-22.5	0-1	0-1	0-0	112	127	126	2016
Buffalo 	-23.6	0-0	0-1	0-0	110	127	127	2016
Texas St 	-30.6	0-0	0-0	0-1	115	128	128	2016
Alabama 	29.6	1-1	3-0	0-0	1	2	1	2017
Ohio St 	27.4	2-1	2-1	1-0	1	4	2	2017
Penn St 	26.6	1-1	3-0	0-1	3	11	3	2017
Clemson 	24.3	1-1	4-0	4-0	2	7	4	2017
Georgia 	24	3-1	1-0	1-0	5	20	8	2017
Oklahoma 	23.4	1-1	4-0	1-1	1	10	6	2017
Wisconsin 	22.6	0-1	4-0	1-0	4	15	7	2017
Auburn 	21.3	2-2	1-2	0-0	5	16	5	2017
Washington 	20.3	0-1	0-1	3-0	4	14	9	2017
Notre Dame 	18.4	0-1	2-2	4-0	4	22	11	2017
Oklahoma St 	18.3	0-1	2-1	1-1	4	15	12	2017
TCU 	17.5	0-2	3-0	1-1	6	18	10	2017
UCF 	15.3	1-0	0-0	3-0	13	68	15	2017
Stanford 	15	2-0	0-3	2-1	3	16	13	2017
Iowa 	13.8	1-2	0-1	2-2	15	37	17	2017
USC 	13.3	0-2	3-0	1-1	6	20	18	2017
Virginia Tech 	13.1	0-1	0-2	2-1	13	35	16	2017
Louisville 	13.1	0-1	1-1	1-3	12	30	19	2017
Mississippi St 	12.8	0-3	2-0	0-0	10	43	21	2017
Florida St 	12.5	0-2	0-2	2-2	3	30	24	2017
Miami 	12.4	1-2	2-0	2-0	13	39	14	2017
LSU 	12.3	1-2	0-1	0-0	9	38	22	2017
Michigan 	12.3	0-3	0-0	1-1	10	23	20	2017
Texas 	11.6	0-1	0-3	2-0	17	46	25	2017
Northwestern 	11.2	0-2	1-0	2-1	23	56	23	2017
NC State 	11.1	0-2	2-0	1-1	21	46	28	2017
Wake Forest 	10.7	0-2	1-1	2-2	21	63	26	2017
Iowa St 	10.4	1-0	1-3	1-1	21	80	27	2017
Michigan St 	9.5	1-2	2-1	1-0	28	60	32	2017
Memphis 	8.8	0-0	0-2	0-1	29	73	29	2017
Kansas St 	8.3	0-1	1-2	1-0	16	36	34	2017
Boston College 	7.6	0-2	2-2	0-2	31	88	33	2017
Oregon 	7.3	0-1	0-1	1-2	17	47	31	2017
Utah 	7.2	0-1	0-2	0-2	30	54	36	2017
Boise St 	7.1	0-0	0-0	1-1	31	63	35	2017
Duke 	7	0-0	1-3	2-0	21	55	40	2017
Washington St 	6.9	0-1	2-0	3-1	19	38	30	2017
Georgia Tech 	6.6	0-2	1-1	1-1	22	41	37	2017
Purdue 	6.5	0-1	1-3	0-0	35	95	39	2017
S Florida 	6.2	0-0	0-1	0-0	23	49	41	2017
West Virginia 	5.7	0-1	0-4	2-1	25	42	38	2017
Florida Atlantic 	5.3	0-1	0-0	0-0	42	115	54	2017
Missouri 	5.3	0-2	0-1	0-1	36	99	42	2017
Texas Tech 	4.9	0-1	1-2	0-3	26	66	43	2017
Texas A&M 	4.7	0-2	0-2	0-1	23	51	46	2017
South Carolina 	4.7	0-2	1-0	1-0	32	70	51	2017
Navy 	4.7	0-1	0-1	0-1	36	55	53	2017
Arizona 	4.4	0-0	0-1	1-3	31	62	44	2017
Indiana 	3.9	0-3	0-1	0-2	37	66	49	2017
San Diego St 	3.4	0-0	1-0	0-1	32	65	48	2017
Arizona St 	3.2	1-0	0-2	2-1	37	74	47	2017
UCLA 	2.6	0-1	0-2	1-3	26	53	50	2017
Houston 	2.5	0-0	0-0	1-1	23	57	52	2017
Fresno St 	2.3	0-2	0-0	1-1	40	113	56	2017
Toledo 	2	0-0	0-1	0-0	40	70	45	2017
App State 	1.9	0-1	0-0	0-1	52	84	77	2017
Army 	1.4	0-1	0-0	1-0	48	75	61	2017
Minnesota 	1.3	0-1	0-3	0-2	27	64	57	2017
Pittsburgh 	1.2	0-1	1-2	1-2	46	82	55	2017
Ohio 	1.1	0-0	0-0	0-1	55	97	60	2017
Florida 	1	0-1	0-3	0-0	20	63	59	2017
Troy 	0.7	0-0	1-0	0-1	60	85	66	2017
California 	0.6	0-1	0-2	1-1	58	78	58	2017
Kentucky 	-0.2	0-1	0-3	0-0	42	72	69	2017
Mississippi 	-0.2	0-2	1-1	0-0	43	81	63	2017
Syracuse 	-0.4	1-0	0-4	0-3	44	68	64	2017
Colorado 	-1.3	0-1	0-1	0-2	21	68	67	2017
N Illinois 	-1.5	0-0	0-0	0-2	58	88	62	2017
Colorado St 	-1.6	0-1	0-0	0-1	36	71	70	2017
North Carolina 	-2.4	0-1	0-3	0-3	51	88	72	2017
Arkansas 	-2.5	0-2	0-3	0-0	31	78	75	2017
Nebraska 	-2.8	0-3	0-2	1-1	53	78	74	2017
W Michigan 	-2.9	0-0	0-1	0-1	50	76	73	2017
Wyoming 	-2.9	0-0	0-1	0-2	72	102	78	2017
Arkansas St 	-3.2	0-0	0-0	0-0	62	91	71	2017
Virginia 	-3.5	0-0	0-3	3-1	61	91	68	2017
Marshall 	-3.7	0-0	0-0	0-1	64	90	79	2017
Utah St 	-3.8	0-1	0-0	0-2	71	102	76	2017
SMU 	-3.8	0-0	0-2	0-1	53	93	65	2017
Temple 	-4.3	0-1	0-1	0-1	66	106	88	2017
Maryland 	-4.4	0-3	1-3	0-1	32	81	80	2017
Vanderbilt 	-4.5	0-2	0-0	1-0	24	89	82	2017
Baylor 	-4.7	0-1	0-3	0-3	39	89	81	2017
Tennessee 	-4.8	0-2	0-1	1-0	22	84	83	2017
Tulane 	-5.4	0-1	0-0	0-2	68	90	85	2017
Air Force 	-5.5	0-0	0-1	0-1	52	87	87	2017
Louisiana Tech 	-5.5	0-0	0-1	0-0	83	107	95	2017
E Michigan 	-5.9	0-0	0-0	0-0	79	111	86	2017
C Michigan 	-7.1	0-0	0-0	0-1	83	117	84	2017
Southern Miss 	-7.5	0-0	0-1	0-0	72	96	89	2017
Rutgers 	-7.8	0-3	0-1	1-1	74	103	91	2017
Buffalo 	-7.8	0-0	0-0	0-0	90	126	90	2017
Tulsa 	-8.3	0-0	0-1	0-2	67	94	92	2017
UTSA 	-8.8	0-0	0-0	0-0	70	100	96	2017
Middle Tenn 	-8.9	0-0	0-0	0-0	81	106	99	2017
BYU 	-9	0-1	0-2	0-2	54	102	97	2017
N Texas 	-9.1	0-0	0-1	0-0	93	125	93	2017
Miami OH 	-10	0-1	0-0	0-0	91	104	98	2017
Nevada 	-10.6	0-0	0-1	0-2	94	116	100	2017
UNLV 	-10.9	0-1	0-0	0-0	89	122	102	2017
Akron 	-11	0-1	0-0	0-1	87	117	94	2017
UMass 	-11.3	0-0	0-1	0-0	100	122	101	2017
W Kentucky 	-12	0-0	0-0	0-0	47	104	103	2017
Illinois 	-12.3	0-2	0-2	0-2	80	107	104	2017
New Mexico St 	-12.5	0-0	0-0	0-0	99	129	108	2017
UL Monroe 	-13.2	0-1	0-1	0-1	101	117	106	2017
Florida Intl 	-13.2	0-0	0-1	0-0	104	128	107	2017
UAB 	-13.7	0-0	0-0	0-0	104	122	105	2017
Cincinnati 	-13.7	0-0	0-2	0-1	87	109	109	2017
New Mexico 	-14.5	0-0	0-0	0-1	82	111	111	2017
Oregon St 	-15	0-1	0-2	0-2	61	113	110	2017
Georgia St 	-15.4	0-1	0-0	0-0	109	128	113	2017
Georgia So 	-16	0-1	0-0	0-0	82	122	112	2017
Bowling Green 	-16.1	0-0	0-1	0-1	97	124	114	2017
UConn 	-16.2	0-0	0-1	0-3	101	122	115	2017
S Alabama 	-16.5	0-0	0-1	0-0	104	123	116	2017
Hawai'i 	-18.5	0-0	0-0	0-0	105	121	118	2017
Kansas 	-19.1	0-1	0-3	0-2	110	123	120	2017
Old Dominion 	-19.3	0-0	0-1	0-0	104	122	122	2017
E Carolina 	-19.4	0-0	0-2	0-2	89	128	121	2017
Coastal Car 	-19.7	0-0	0-0	0-0	108	126	123	2017
Louisiana 	-20.3	0-0	0-0	0-0	109	123	119	2017
Kent St 	-23.2	0-1	0-1	0-0	112	125	124	2017
Rice 	-23.8	0-0	0-1	0-0	114	127	125	2017
Texas St 	-26	0-0	0-0	0-0	126	130	126	2017
Charlotte 	-26.5	0-0	0-0	0-1	126	130	127	2017
San Jose St 	-27.1	0-0	0-1	0-2	111	130	129	2017
Ball St 	-27.9	0-0	0-0	0-0	82	129	128	2017
UTEP 	-28.2	0-1	0-0	0-0	125	130	130	2017
Clemson 	34.1	2-0	2-0	3-0	1	7	2	2018
Alabama 	32.5	4-1	3-0	0-0	1	2	1	2018
Georgia 	24	1-1	3-2	1-0	3	7	3	2018
Oklahoma 	21.3	0-1	2-1	3-0	2	8	5	2018
Michigan 	20.3	1-2	0-1	3-0	3	14	4	2018
Ohio St 	20.2	2-0	1-0	2-0	2	8	6	2018
Mississippi St 	19.5	1-1	1-4	0-0	6	17	7	2018
Notre Dame 	18.1	1-1	1-0	2-0	6	22	8	2018
Penn St 	17.3	0-2	1-1	2-1	2	17	9	2018
Auburn 	16.5	0-3	2-1	0-0	5	23	17	2018
Texas A&M 	16.2	0-4	2-0	2-0	11	25	16	2018
Florida 	15.5	2-1	1-2	1-0	12	42	18	2018
LSU 	15.5	3-1	1-2	1-0	8	29	13	2018
West Virginia 	15.3	0-1	1-1	1-2	7	25	10	2018
Iowa 	15	1-1	0-0	1-2	11	38	14	2018
Missouri 	14.8	0-2	1-1	0-2	11	40	11	2018
Washington 	14.2	0-2	2-0	2-1	4	19	15	2018
UCF 	13.8	0-0	0-1	1-0	12	26	12	2018
Utah St 	13.1	0-0	0-1	0-1	15	73	23	2018
Fresno St 	13	0-0	1-1	0-0	12	64	19	2018
Texas 	12.4	2-1	0-1	2-1	17	41	24	2018
Kentucky 	11.6	2-1	2-1	1-0	20	60	22	2018
Utah 	11.1	0-0	0-2	2-2	14	46	21	2018
Syracuse 	10.9	0-2	1-0	2-0	24	64	29	2018
Boise St 	10.9	0-0	2-1	0-1	6	33	26	2018
Wisconsin 	10.9	0-2	1-0	1-1	4	34	32	2018
Washington St 	10.8	0-0	1-1	3-0	23	67	25	2018
Miami 	10.6	0-0	0-1	0-2	8	28	20	2018
App State 	9.7	0-1	0-0	0-0	11	68	34	2018
Stanford 	9.4	0-1	0-2	1-1	11	35	27	2018
Oklahoma St 	9.2	0-1	4-0	0-2	12	43	35	2018
Michigan St 	8.2	1-2	1-0	0-2	13	35	33	2018
Iowa St 	7.9	0-1	1-2	2-1	23	43	38	2018
South Carolina 	7.8	0-2	1-3	0-0	22	35	28	2018
NC State 	7.7	0-1	0-2	1-0	29	64	30	2018
Texas Tech 	7.6	0-1	0-2	1-1	19	70	37	2018
Cincinnati 	7.5	0-0	0-1	0-0	34	97	36	2018
Oregon 	7.4	0-0	1-1	1-2	22	51	39	2018
Boston College 	7	0-1	0-1	1-1	22	40	40	2018
Northwestern 	6.8	0-3	2-0	2-0	30	57	43	2018
Army 	6.8	0-1	0-0	0-0	36	76	55	2018
Purdue 	6.5	1-1	1-1	1-3	21	65	31	2018
Duke 	5.7	0-1	0-0	2-0	20	54	53	2018
TCU 	5.6	0-2	0-2	2-1	15	47	44	2018
Arizona St 	5.6	0-0	1-2	1-2	29	52	42	2018
Georgia Tech 	5.5	0-2	0-0	1-0	36	65	41	2018
Virginia 	5.3	0-0	0-0	2-1	46	85	54	2018
Ohio 	4.9	0-0	0-0	0-1	45	97	50	2018
Minnesota 	4.8	0-1	1-1	1-1	40	76	56	2018
Pittsburgh 	4.8	0-3	1-1	0-2	46	88	48	2018
Vanderbilt 	3.9	0-2	0-3	0-1	44	90	45	2018
USC 	3.9	0-1	0-2	1-1	18	52	49	2018
Memphis 	3.5	0-0	0-3	0-0	32	57	47	2018
Maryland 	3.3	0-3	1-1	0-1	46	74	52	2018
Nebraska 	2.5	0-2	0-1	1-2	49	92	57	2018
BYU 	2.5	0-0	0-4	1-0	48	75	62	2018
Temple 	2.3	0-0	0-1	1-1	45	105	46	2018
Kansas St 	2.2	0-2	0-2	2-1	33	76	58	2018
California 	1.6	0-0	1-0	0-3	43	88	59	2018
Mississippi 	1.5	0-3	0-2	1-1	31	62	61	2018
Indiana 	1.4	0-3	0-1	0-1	49	72	60	2018
Virginia Tech 	1.2	0-1	0-0	0-3	10	68	63	2018
Baylor 	1	0-1	0-2	2-1	47	74	66	2018
Wake Forest 	1	0-2	0-1	1-1	45	90	65	2018
Houston 	-0.2	0-0	0-0	0-1	33	65	51	2018
UAB 	-0.4	0-0	0-1	0-0	60	109	75	2018
Toledo 	-0.5	0-0	0-1	0-1	46	78	64	2018
Arizona 	-0.5	0-0	0-1	1-1	34	74	67	2018
Troy 	-0.9	0-0	0-1	0-1	64	91	74	2018
Tennessee 	-1.1	1-2	1-3	0-1	56	90	69	2018
Buffalo 	-1.2	0-0	0-0	0-0	61	95	68	2018
Georgia So 	-1.3	0-1	0-0	1-0	64	94	73	2018
Florida St 	-1.5	0-2	0-2	1-2	16	77	72	2018
UCLA 	-1.7	0-1	0-3	0-3	64	91	71	2018
Air Force 	-1.7	0-0	0-2	0-0	62	80	79	2018
Marshall 	-1.8	0-0	0-0	0-1	62	91	80	2018
Colorado 	-2.1	0-0	0-2	0-1	51	82	76	2018
N Texas 	-2.5	0-0	0-1	0-0	30	88	70	2018
Middle Tenn 	-3.1	0-1	0-1	0-1	72	102	78	2018
Arkansas St 	-3.1	0-1	0-0	0-1	60	93	81	2018
N Illinois 	-3.4	0-0	0-2	0-0	61	90	77	2018
Miami OH 	-3.6	0-0	0-0	0-1	82	111	83	2018
Florida Atlantic 	-3.8	0-1	0-1	0-0	44	94	84	2018
Nevada 	-4.1	0-0	0-2	0-0	77	100	86	2018
San Diego St 	-4.3	0-0	1-1	0-1	43	86	82	2018
Florida Intl 	-4.3	0-0	0-0	0-1	70	114	87	2018
E Michigan 	-4.4	0-0	0-0	0-0	73	103	85	2018
Kansas 	-4.7	0-1	0-2	0-3	75	114	89	2018
North Carolina 	-4.7	0-0	0-1	0-2	59	97	88	2018
Tulane 	-4.8	0-1	0-0	0-1	78	94	90	2018
Wyoming 	-5.6	0-0	0-4	0-1	80	108	91	2018
Arkansas 	-7	0-3	0-3	0-0	57	95	95	2018
Navy 	-7.2	0-1	0-1	0-1	46	97	93	2018
SMU 	-7.5	0-1	0-1	0-1	85	110	92	2018
Southern Miss 	-7.6	0-1	0-0	0-0	93	112	97	2018
Louisiana Tech 	-7.9	0-1	0-1	0-0	65	98	98	2018
W Michigan 	-8.6	0-1	0-1	0-0	71	104	94	2018
S Florida 	-9.1	0-0	0-1	0-1	60	98	96	2018
Louisiana 	-9.7	0-2	0-0	0-2	99	124	99	2018
Tulsa 	-10.8	0-0	0-1	0-0	90	100	100	2018
UL Monroe 	-12.3	0-0	0-1	0-0	98	123	102	2018
Rutgers 	-12.5	0-3	0-0	0-3	77	121	101	2018
Illinois 	-13	0-1	0-1	0-2	96	107	103	2018
Charlotte 	-13.8	0-0	0-0	0-1	104	124	106	2018
Hawai'i 	-13.8	0-0	0-2	0-0	104	129	104	2018
Akron 	-13.9	0-0	0-0	1-2	83	110	105	2018
Liberty 	-14.1	0-1	0-0	0-0	86	112	107	2018
New Mexico 	-14.5	0-0	0-3	0-1	88	108	108	2018
UNLV 	-14.8	0-0	0-2	0-0	94	115	109	2018
Louisville 	-15	0-2	0-2	0-2	41	111	111	2018
Coastal Car 	-15	0-0	0-0	0-2	98	120	110	2018
Oregon St 	-15.5	0-1	0-1	0-3	102	120	112	2018
UMass 	-16.1	0-1	0-0	0-1	90	117	114	2018
Ball St 	-16.4	0-1	0-0	0-0	100	127	113	2018
W Kentucky 	-16.4	0-0	0-0	0-1	110	123	115	2018
Old Dominion 	-16.7	0-0	0-0	0-0	106	127	116	2018
Colorado St 	-16.7	0-0	0-3	0-0	100	121	117	2018
C Michigan 	-17.6	0-0	0-1	0-1	102	119	118	2018
San Jose St 	-17.7	0-0	0-2	0-2	119	129	120	2018
E Carolina 	-19	0-0	0-1	0-2	105	124	119	2018
Kent St 	-19.4	0-1	0-0	0-0	115	128	121	2018
Georgia St 	-19.5	0-0	0-0	0-2	118	127	122	2018
Bowling Green 	-20	0-0	0-0	0-1	110	126	123	2018
S Alabama 	-20.5	0-0	0-0	0-2	112	125	125	2018
Texas St 	-20.6	0-0	0-0	0-1	124	128	124	2018
UTSA 	-22.7	0-0	0-0	0-0	113	127	126	2018
New Mexico St 	-23.8	0-0	0-1	0-0	119	129	127	2018
Rice 	-25.1	0-0	0-1	0-0	123	130	128	2018
UTEP 	-27.2	0-0	0-0	0-0	128	130	129	2018
UConn 	-28.9	0-0	0-3	0-1	113	130	130	2018
Ohio St 	39.1	4-1	1-0	3-0	1	6	1	2019
Clemson 	32.7	1-1	1-0	1-0	1	4	2	2019
LSU 	32.6	4-0	4-0	0-0	3	8	3	2019
Alabama 	30.5	1-2	1-0	0-0	1	4	4	2019
Wisconsin 	24.4	1-3	2-0	2-0	3	17	5	2019
Georgia 	24.1	1-1	4-0	2-0	3	8	6	2019
Penn St 	22.9	1-1	2-1	2-0	4	15	7	2019
Michigan 	21.5	0-4	2-0	2-0	4	18	8	2019
Auburn 	21.2	2-2	1-2	0-0	8	12	9	2019
Oregon 	20.9	1-1	3-0	1-0	7	19	11	2019
Florida 	20.8	1-2	0-0	2-0	8	15	10	2019
Notre Dame 	20.4	0-2	2-0	1-0	8	16	14	2019
Oklahoma 	18.9	0-1	4-0	2-1	6	14	13	2019
Utah 	18.1	0-1	1-2	1-0	9	24	12	2019
Iowa 	16.1	0-3	3-0	1-0	14	23	15	2019
Washington 	14.7	0-1	1-1	2-0	12	28	18	2019
UCF 	13.9	0-0	0-1	0-0	10	26	16	2019
Baylor 	13.5	0-1	2-2	3-0	16	49	17	2019
Texas 	13.3	0-1	1-3	2-1	16	24	23	2019
Texas A&M 	13.1	0-5	0-0	1-0	10	21	19	2019
Minnesota 	13.1	2-1	0-1	1-0	18	66	21	2019
Memphis 	12.6	0-1	2-0	1-0	19	36	20	2019
USC 	9.8	0-1	1-3	0-0	17	26	22	2019
Iowa St 	9.8	0-0	1-4	1-2	19	66	24	2019
Cincinnati 	9.3	0-1	1-2	0-0	21	51	30	2019
Navy 	9.1	0-0	0-2	2-0	26	94	26	2019
App State 	9	0-0	0-0	3-0	25	57	25	2019
Indiana 	8.1	0-3	0-0	1-1	26	53	28	2019
Michigan St 	7.9	0-4	0-0	1-0	13	31	31	2019
North Carolina 	7.9	0-1	0-0	0-1	28	58	42	2019
Oklahoma St 	7.8	0-0	1-4	2-0	22	46	32	2019
Washington St 	7.6	0-1	0-2	0-1	15	32	29	2019
Air Force 	7.1	0-0	0-0	1-2	33	65	38	2019
Boise St 	7.1	0-0	0-1	1-0	26	39	27	2019
Louisiana 	6.9	0-0	0-0	0-2	25	93	33	2019
TCU 	6.8	0-0	1-3	0-2	25	41	34	2019
Kansas St 	6.7	0-0	2-2	1-2	32	75	35	2019
Kentucky 	6.6	0-1	0-1	1-0	36	55	39	2019
Missouri 	6.2	0-1	0-1	0-1	18	42	41	2019
Nebraska 	6	0-2	0-2	0-1	24	56	40	2019
Florida Atlantic 	6	0-1	0-1	0-0	40	85	47	2019
Mississippi St 	5.8	0-3	0-1	2-1	19	43	36	2019
Virginia 	5.8	0-1	0-2	1-0	27	45	45	2019
South Carolina 	5.5	1-2	0-2	1-3	25	46	44	2019
Tennessee 	5.4	0-2	0-1	3-0	30	74	46	2019
SMU 	4.8	0-0	0-1	1-1	30	76	37	2019
Arizona St 	4.2	1-0	0-2	2-0	42	72	49	2019
Miami 	4	0-0	0-1	0-1	19	49	43	2019
Virginia Tech 	3.9	0-0	0-1	1-1	31	90	48	2019
Tulane 	3.8	0-1	0-2	0-1	31	69	50	2019
Mississippi 	3.6	0-3	0-2	0-1	50	77	51	2019
Florida St 	2.5	0-1	0-1	0-1	36	55	52	2019
California 	2.2	0-1	1-2	1-0	51	77	53	2019
Purdue 	1.4	0-2	0-2	1-2	38	76	54	2019
Wake Forest 	1	0-1	0-0	1-1	47	67	55	2019
Louisville 	0.5	0-1	0-1	0-1	55	90	63	2019
Texas Tech 	0.2	0-0	0-4	1-2	53	71	57	2019
Stanford 	0.1	0-1	1-3	0-1	24	62	58	2019
Oregon St 	-0.3	0-1	0-2	0-2	58	104	62	2019
Houston 	-0.3	0-0	0-4	0-2	36	63	59	2019
Illinois 	-0.6	1-1	0-2	1-1	53	92	56	2019
Pittsburgh 	-0.7	0-1	1-0	1-0	42	68	60	2019
BYU 	-0.8	0-0	1-2	1-0	54	72	61	2019
Northwestern 	-1.1	0-2	0-2	0-3	32	74	66	2019
UCLA 	-1.2	0-0	0-4	1-0	39	75	65	2019
Duke 	-1.6	0-1	0-1	0-1	29	71	68	2019
San Diego St 	-1.6	0-0	0-0	0-0	67	94	75	2019
Boston College 	-2.2	0-1	0-2	0-0	45	86	64	2019
Colorado 	-2.3	0-1	1-2	1-2	52	77	69	2019
Wyoming 	-2.4	0-0	0-0	1-2	70	97	73	2019
Syracuse 	-2.4	0-1	0-0	0-0	27	83	70	2019
Tulsa 	-2.5	0-0	1-2	0-3	70	95	71	2019
Buffalo 	-3.2	0-1	0-0	0-0	73	105	77	2019
W Michigan 	-3.3	0-0	0-0	0-1	58	80	72	2019
Hawai'i 	-3.5	0-0	0-1	0-3	63	95	78	2019
Temple 	-3.5	0-0	1-2	0-1	44	78	67	2019
Ohio 	-3.7	0-0	0-0	0-1	73	93	74	2019
Maryland 	-4.1	0-3	0-1	0-3	16	82	76	2019
Army 	-4.1	0-1	0-0	0-2	49	82	80	2019
West Virginia 	-4.2	0-0	0-4	2-2	67	98	81	2019
Arizona 	-4.2	0-1	0-3	0-0	48	81	79	2019
Louisiana Tech 	-4.5	0-0	0-1	0-0	77	105	88	2019
W Kentucky 	-4.6	0-0	0-0	0-0	76	120	84	2019
Utah St 	-5	0-1	0-0	0-2	41	85	82	2019
Georgia So 	-5.4	0-1	0-1	1-1	82	107	83	2019
Southern Miss 	-5.5	0-1	0-0	0-0	73	86	85	2019
Marshall 	-5.6	0-0	0-2	0-1	61	90	86	2019
Fresno St 	-5.7	0-0	0-2	0-1	54	88	87	2019
Ball St 	-6.8	0-0	0-0	0-1	81	113	89	2019
Arkansas St 	-7.5	0-1	0-0	0-1	60	91	90	2019
S Florida 	-8.4	0-1	0-3	0-1	70	100	91	2019
NC State 	-8.5	0-1	0-0	0-1	34	93	93	2019
Miami OH 	-8.9	0-1	0-2	0-1	89	107	95	2019
Arkansas 	-9.1	0-3	0-1	0-2	72	102	94	2019
Middle Tenn 	-9.5	0-1	0-1	0-0	87	106	96	2019
Vanderbilt 	-9.7	0-2	0-1	1-1	60	107	98	2019
Liberty 	-10	0-0	0-0	0-1	96	118	99	2019
Troy 	-10.2	0-0	0-0	0-3	81	104	97	2019
UAB 	-10.4	0-0	0-0	0-1	91	108	100	2019
C Michigan 	-10.4	0-1	0-0	0-0	91	127	92	2019
Kent St 	-10.8	0-2	0-0	0-0	99	124	109	2019
E Michigan 	-10.8	0-0	0-0	0-1	90	113	102	2019
San Jose St 	-11	0-0	0-0	0-2	103	120	103	2019
Kansas 	-11.2	0-0	0-4	0-3	94	120	101	2019
N Texas 	-11.3	0-0	0-0	0-0	78	105	104	2019
Florida Intl 	-11.7	0-0	0-0	0-0	88	114	107	2019
Georgia Tech 	-11.7	0-2	0-0	0-1	75	109	105	2019
Colorado St 	-11.8	0-0	0-0	0-2	107	119	110	2019
UL Monroe 	-11.9	0-0	0-2	0-2	87	114	106	2019
N Illinois 	-12	0-0	0-1	0-1	86	110	108	2019
Georgia St 	-12.9	0-0	0-0	0-1	91	118	111	2019
Charlotte 	-12.9	0-1	0-0	0-1	105	117	112	2019
Coastal Car 	-13.4	0-0	0-0	0-2	97	123	113	2019
Toledo 	-13.7	0-0	0-0	0-1	70	115	114	2019
E Carolina 	-14.5	0-0	0-2	0-1	102	117	115	2019
Rice 	-16	0-0	0-2	0-0	116	128	117	2019
UNLV 	-16.1	0-0	0-0	0-1	101	119	116	2019
Nevada 	-16.4	0-1	0-0	0-0	84	123	119	2019
Rutgers 	-16.8	0-3	0-2	0-2	95	123	118	2019
S Alabama 	-18.6	0-0	0-1	0-3	111	123	120	2019
Texas St 	-19.1	0-0	0-1	0-2	109	121	121	2019
New Mexico 	-20.3	0-0	0-1	0-2	114	123	122	2019
UTSA 	-22	0-0	0-2	0-0	119	127	124	2019
Old Dominion 	-22.1	0-0	0-0	0-0	120	126	123	2019
New Mexico St 	-24.5	0-1	0-0	0-1	119	126	125	2019
UConn 	-25.3	0-0	0-2	0-2	123	128	126	2019
UTEP 	-29	0-0	0-0	0-0	127	129	127	2019
Bowling Green 	-29.5	0-0	0-1	0-1	111	128	128	2019
Akron 	-35.3	0-0	0-0	0-0	124	129	129	2019
UMass 	-42.3	0-0	0-0	0-0	130	130	130	2019
Alabama 	38.5	5-0	1-0	2-0	1	3	1	2020
Clemson 	28.8	1-2	1-0	3-0	1	3	2	2020
Ohio St 	28.6	1-1	3-0	0-0	1	3	3	2020
Oklahoma 	24.8	3-1	2-0	0-0	4	14	5	2020
Georgia 	22.4	0-2	2-0	0-0	3	8	4	2020
Notre Dame 	19.7	1-2	1-0	2-0	4	10	6	2020
Texas A&M 	18.8	1-1	2-0	1-0	7	26	8	2020
Texas 	18.1	0-2	1-1	1-0	6	19	12	2020
Florida 	18	1-3	0-0	1-1	5	12	7	2020
Iowa St 	17.9	2-1	2-1	1-1	9	33	13	2020
