,index,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,game_id,favorite_covered
9673,9797,away,home,2020-12-19,34,13,Texas A&M,Tennessee,49.5,13.5,U,y,n,-448.22222222222223,1511.4888888888888,Tennessee_Texas A&M,2020-12-19_Tennessee_Texas A&M,y
9664,9788,home,away,2020-12-19,28,45,Washington State,Utah,55.0,11.5,O,y,n,-495.29411764705884,235,Utah_Washington State,2020-12-19_Utah_Washington State,y
9676,9800,home,away,2020-12-21,28,56,North Texas,Appalachian State,68.0,22.5,O,y,n,-115,800,Appalachian State_North Texas,2020-12-21_Appalachian State_North Texas,y
9678,9802,home,away,2020-12-22,23,49,FCS,BYU,80.0,5.0,U,y,n,-300,170,BYU_FCS,2020-12-22_BYU_FCS,y
9677,9801,home,away,2020-12-22,27,38,Tulane,Nevada,56.5,1.0,O,y,n,-180.61666666666667,415.98333333333335,Nevada_Tulane,2020-12-22_Nevada_Tulane,y
9680,9804,home,away,2020-12-23,10,25,FCS,Memphis,52.5,9.0,U,y,n,-311.2972972972973,240,FCS_Memphis,2020-12-23_FCS_Memphis,y
9679,9803,away,home,2020-12-23,38,3,Georgia Southern,Louisiana Tech,48.0,7.5,U,y,n,-367.5833333333333,977.5555555555555,Georgia Southern_Louisiana Tech,2020-12-23_Georgia Southern_Louisiana Tech,y
9681,9805,home,away,2020-12-24,28,14,Hawaii,Houston,60.5,7.5,U,y,n,-367.5833333333333,977.5555555555555,Hawaii_Houston,2020-12-24_Hawaii_Houston,n
9682,9806,home,away,2020-12-25,10,17,Marshall,Buffalo,54.0,5.5,U,y,n,-404.5111111111111,225,Buffalo_Marshall,2020-12-25_Buffalo_Marshall,y
9683,9807,home,away,2020-12-26,37,34,Liberty,Coastal Carolina,60.0,6.5,O,y,n,-398.2073170731707,667.0243902439024,Coastal Carolina_Liberty,2020-12-26_Coastal Carolina_Liberty,n
9684,9808,home,away,2020-12-26,21,39,Western Kentucky,Georgia State,50.0,3.5,O,y,n,-115,140,Georgia State_Western Kentucky,2020-12-26_Georgia State_Western Kentucky,y
9686,9810,home,away,2020-12-29,23,55,Colorado,Texas,67.0,8.0,O,y,n,-380,270,Colorado_Texas,2020-12-29_Colorado_Texas,y
9685,9809,none,none,2020-12-29,37,34,Oklahoma State,Miami FL,62.5,0.0,O,y,n,-110.0,-110.0,Miami FL_Oklahoma State,2020-12-29_Miami FL_Oklahoma State,eq
9688,9812,home,away,2020-12-30,20,55,Florida,Oklahoma,65.0,7.5,O,y,n,-380,270,Florida_Oklahoma,2020-12-30_Florida_Oklahoma,y
9687,9811,away,home,2020-12-30,42,28,Wisconsin,Wake Forest,52.0,10.5,O,y,n,-421.2708333333333,438.6041666666667,Wake Forest_Wisconsin,2020-12-30_Wake Forest_Wisconsin,y
9690,9814,away,home,2020-12-31,24,21,West Virginia,Army,41.0,10.0,O,y,n,-110,260,Army_West Virginia,2020-12-31_Army_West Virginia,n
9691,9815,home,away,2020-12-31,34,13,Ball State,San Jose State,65.5,8.0,U,y,n,-434.64102564102564,358.0,Ball State_San Jose State,2020-12-31_Ball State_San Jose State,n
9689,9813,away,home,2020-12-31,28,26,Mississippi State,Tulsa,44.5,1.0,O,y,n,-180.61666666666667,415.98333333333335,Mississippi State_Tulsa,2020-12-31_Mississippi State_Tulsa,y
9577,9700,away,home,2020-12-03,35,7,Air Force,Utah State,51.0,13.5,U,y,n,-520,135,Air Force_Utah State,2020-12-3_Air Force_Utah State,y
9576,9699,away,home,2020-12-03,42,31,Louisiana Tech,North Texas,65.5,1.0,O,y,n,-180.61666666666667,415.98333333333335,Louisiana Tech_North Texas,2020-12-3_Louisiana Tech_North Texas,y
9578,9701,home,away,2020-12-04,24,21,Louisiana Lafayette,Appalachian State,52.0,3.0,U,y,n,-276.2142857142857,695.625,Appalachian State_Louisiana Lafayette,2020-12-4_Appalachian State_Louisiana Lafayette,n
9586,9709,home,away,2020-12-05,3,31,Bowling Green,Akron,54.5,2.5,U,y,n,-378.39325842696627,412.0,Akron_Bowling Green,2020-12-5_Akron_Bowling Green,y
9614,9737,away,home,2020-12-05,55,17,Alabama,LSU,64.0,29.5,O,n,y,-2493.3333333333335,3011.3333333333335,Alabama_LSU,2020-12-5_Alabama_LSU,y
9593,9716,home,away,2020-12-05,25,18,UCLA,Arizona State,58.0,2.0,U,y,n,-474.98,1152.84,Arizona State_UCLA,2020-12-5_Arizona State_UCLA,n
9592,9715,away,home,2020-12-05,24,13,Colorado,Arizona,56.5,9.5,U,y,n,-378.86538461538464,437.7307692307692,Arizona_Colorado,2020-12-5_Arizona_Colorado,y
9612,9735,home,away,2020-12-05,15,48,Louisiana Monroe,Arkansas State,71.0,20.5,U,y,n,-999.9047619047619,786.952380952381,Arkansas State_Louisiana Monroe,2020-12-5_Arkansas State_Louisiana Monroe,y
