,index,full_date,spread,ou,ou_total,home,away,match_key,game_id,home_score,away_score,fav_side,dog_side,favorite_covered,spread_away_cover,spread_home_cover,ml_fav,ml_dog
573,575,2024-10-12,1.0,U,58.5,Georgia Southern,Marshall,Georgia Southern_Marshall,2024-10-12_Georgia Southern_Marshall,24,23,home,away,n,y,n,-180.61666666666667,415.98333333333335
587,589,2024-10-12,3.0,U,53.5,Georgia State,Old Dominion,Georgia State_Old Dominion,2024-10-12_Georgia State_Old Dominion,14,21,home,away,n,y,n,-276.2142857142857,695.625
600,602,2024-10-12,3.5,O,61.0,North Carolina,Georgia Tech,Georgia Tech_North Carolina,2024-10-12_Georgia Tech_North Carolina,34,41,home,away,n,y,n,-252.70491803278688,1557.639344262295
558,560,2024-10-12,33.5,O,54.5,Georgia,Mississippi State,Georgia_Mississippi State,2024-10-12_Georgia_Mississippi State,41,31,home,away,n,y,n,-725.0,6250.0
638,640,2024-10-12,22.5,O,47.5,Illinois,Purdue,Illinois_Purdue,2024-10-12_Illinois_Purdue,50,49,home,away,n,y,n,-395.0,922.2727272727273
699,701,2024-10-12,3.0,U,53.5,West Virginia,Iowa State,Iowa State_West Virginia,2024-10-12_Iowa State_West Virginia,16,28,home,away,n,y,n,-276.2142857142857,695.625
679,681,2024-10-12,3.0,O,41.5,Iowa,Washington,Iowa_Washington,2024-10-12_Iowa_Washington,40,16,home,away,y,n,y,-276.2142857142857,695.625
769,772,2024-10-12,12.5,U,44.5,Kentucky,Vanderbilt,Kentucky_Vanderbilt,2024-10-12_Kentucky_Vanderbilt,13,20,home,away,n,y,n,-628.1851851851852,429.48148148148147
823,827,2024-10-12,4.5,O,41.0,Louisiana Monroe,Southern Miss,Louisiana Monroe_Southern Miss,2024-10-12_Louisiana Monroe_Southern Miss,38,21,home,away,y,n,y,-309.2950819672131,392.8196721311475
839,843,2024-10-12,7.5,U,54.0,Virginia,Louisville,Louisville_Virginia,2024-10-12_Louisville_Virginia,20,24,home,away,n,y,n,-367.5833333333333,977.5555555555555
893,897,2024-10-12,27.5,U,53.5,Massachusetts,Missouri,Massachusetts_Missouri,2024-10-12_Massachusetts_Missouri,3,45,away,home,y,y,n,-3594.4117647058824,1418.1176470588234
1473,1480,2024-10-12,10.0,U,60.5,USF,Memphis,Memphis_USF,2024-10-12_Memphis_USF,3,21,away,home,y,y,n,-521.3134328358209,471.5074626865672
1404,1411,2024-10-12,3.5,U,39.5,UCLA,Minnesota,Minnesota_UCLA,2024-10-12_Minnesota_UCLA,17,21,away,home,y,y,n,-252.70491803278688,1557.639344262295
1031,1036,2024-10-12,1.0,U,51.5,NC State,Syracuse,NC State_Syracuse,2024-10-12_NC State_Syracuse,17,24,away,home,y,y,n,-180.61666666666667,415.98333333333335
1059,1064,2024-10-12,3.0,O,46.5,Nevada,Oregon State,Nevada_Oregon State,2024-10-12_Nevada_Oregon State,42,37,away,home,n,n,y,-276.2142857142857,695.625
1115,1120,2024-10-12,22.5,O,45.5,Notre Dame,Stanford,Notre Dame_Stanford,2024-10-12_Notre Dame_Stanford,49,7,home,away,y,n,y,-395.0,922.2727272727273
1130,1135,2024-10-12,3.5,O,54.5,Oregon,Ohio State,Ohio State_Oregon,2024-10-12_Ohio State_Oregon,32,31,home,away,n,y,n,-252.70491803278688,1557.639344262295
1144,1149,2024-10-12,17.0,U,49.0,Oklahoma,Texas,Oklahoma_Texas,2024-10-12_Oklahoma_Texas,3,34,away,home,y,y,n,-620.0,635.2702702702703
1451,1458,2024-10-12,3.5,O,51.5,USC,Penn State,Penn State_USC,2024-10-12_Penn State_USC,30,33,away,home,n,n,y,-252.70491803278688,1557.639344262295
1513,1520,2024-10-12,3.5,O,51.0,Rice,UTSA,Rice_UTSA,2024-10-12_Rice_UTSA,29,27,home,away,n,y,n,-252.70491803278688,1557.639344262295
1234,1240,2024-10-12,1.5,O,44.0,Rutgers,Wisconsin,Rutgers_Wisconsin,2024-10-12_Rutgers_Wisconsin,7,42,home,away,n,y,n,-323.8360655737705,588.6229508196722
1257,1263,2024-10-12,1.5,O,43.0,Wyoming,San Diego State,San Diego State_Wyoming,2024-10-12_San Diego State_Wyoming,24,27,away,home,y,y,n,-323.8360655737705,588.6229508196722
756,758,2024-10-15,8.5,U,49.5,Middle Tennessee,Kennesaw State,Kennesaw State_Middle Tennessee,2024-10-15_Kennesaw State_Middle Tennessee,14,5,away,home,n,n,y,-370.22222222222223,1141.0740740740741
781,784,2024-10-15,12.5,O,49.0,New Mexico State,Louisiana Tech,Louisiana Tech_New Mexico State,2024-10-15_Louisiana Tech_New Mexico State,33,30,home,away,n,y,n,-628.1851851851852,429.48148148148147
1290,1296,2024-10-15,10.0,U,53.5,South Alabama,Troy,South Alabama_Troy,2024-10-15_South Alabama_Troy,25,9,home,away,y,n,y,-521.3134328358209,471.5074626865672
1242,1248,2024-10-16,1.5,U,55.0,Sam Houston,Western Kentucky,Sam Houston_Western Kentucky,2024-10-16_Sam Houston_Western Kentucky,14,31,home,away,n,y,n,-323.8360655737705,588.6229508196722
243,244,2024-10-17,8.5,O,47.5,Virginia Tech,Boston College,Boston College_Virginia Tech,2024-10-17_Boston College_Virginia Tech,42,21,away,home,n,n,y,-370.22222222222223,1141.0740740740741
588,590,2024-10-17,9.0,O,51.5,Marshall,Georgia State,Georgia State_Marshall,2024-10-17_Georgia State_Marshall,35,20,away,home,n,n,y,-311.2972972972973,422.86486486486484
295,297,2024-10-18,8.5,O,53.5,BYU,Oklahoma State,BYU_Oklahoma State,2024-10-18_BYU_Oklahoma State,38,35,home,away,n,y,n,-370.22222222222223,1141.0740740740741
440,442,2024-10-18,2.5,U,43.0,Duke,Florida State,Duke_Florida State,2024-10-18_Duke_Florida State,23,16,home,away,y,n,y,-378.39325842696627,412.0
544,546,2024-10-18,3.0,U,50.0,Nevada,Fresno State,Fresno State_Nevada,2024-10-18_Fresno State_Nevada,21,24,home,away,n,y,n,-276.2142857142857,695.625
1186,1192,2024-10-18,30.0,U,61.0,Purdue,Oregon,Oregon_Purdue,2024-10-18_Oregon_Purdue,0,35,home,away,n,y,n,-2039.0,2622.8333333333335
5,5,2024-10-19,6.0,U,44.0,Air Force,Colorado State,Air Force_Colorado State,2024-10-19_Air Force_Colorado State,13,21,away,home,y,y,n,-524.776119402985,786.1044776119403
47,47,2024-10-19,3.5,U,57.5,Tennessee,Alabama,Alabama_Tennessee,2024-10-19_Alabama_Tennessee,24,17,home,away,y,n,y,-252.70491803278688,1557.639344262295
105,105,2024-10-19,5.5,U,51.0,Cincinnati,Arizona State,Arizona State_Cincinnati,2024-10-19_Arizona State_Cincinnati,24,14,away,home,n,n,y,-404.5111111111111,991.0444444444445
86,86,2024-10-19,2.5,U,57.5,Arizona,Colorado,Arizona_Colorado,2024-10-19_Arizona_Colorado,7,34,home,away,n,y,n,-378.39325842696627,412.0
138,138,2024-10-19,7.0,O,56.5,Southern Miss,Arkansas State,Arkansas State_Southern Miss,2024-10-19_Arkansas State_Southern Miss,28,44,home,away,n,y,n,-470.5263157894737,1887.4812030075188
